Glycan,C5,C6,C_7
9-7-0-1-0 Protonated,1620355,2576181,N/A
9-7-0-1-0 Protonated Ratio,1,1.59,N/A
9-7-0-1-0 All Adducts,1620355.13,2576181,N/A
9-7-0-1-0 All Ratio,1,1.59,N/A
9-7-0-2-0 Protonated,142869.3,116646,N/A
9-7-0-2-0 Protonated Ratio,1.22,1,N/A
9-7-0-2-0 All Adducts,267605.46,244277.57,N/A
9-7-0-2-0 All Ratio,1.1,1,N/A
9-7-1-0-0 Protonated,283118.2,219763.5,N/A
9-7-1-0-0 Protonated Ratio,1.29,1,N/A
9-7-1-0-0 All Adducts,283118.16,545210.87,N/A
9-7-1-0-0 All Ratio,1,1.93,N/A
9-7-1-1-0 Protonated,3744655,13625670,N/A
9-7-1-1-0 Protonated Ratio,1,3.64,N/A
9-7-1-1-0 All Adducts,3744655,13625674,N/A
9-7-1-1-0 All Ratio,1,3.64,N/A
9-7-1-2-0 Protonated,11746.41,24155.24,N/A
9-7-1-2-0 Protonated Ratio,1,2.06,N/A
9-7-1-2-0 All Adducts,11746.41,37348.32,N/A
9-7-1-2-0 All Ratio,1,3.18,N/A
9-8-0-0-0 Protonated,21977.31,25016.81,N/A
9-8-0-0-0 Protonated Ratio,1,1.14,N/A
9-8-0-0-0 All Adducts,21977.31,25016.81,N/A
9-8-0-0-0 All Ratio,1,1.14,N/A
9-8-0-1-0 Protonated,1972137,8954260,N/A
9-8-0-1-0 Protonated Ratio,1,4.54,N/A
9-8-0-1-0 All Adducts,1972137,8954260,N/A
9-8-0-1-0 All Ratio,1,4.54,N/A
9-8-0-2-0 Protonated,13183.62,9753.28,N/A
9-8-0-2-0 Protonated Ratio,1.35,1,N/A
9-8-0-2-0 All Adducts,73027.28,9753.28,N/A
9-8-0-2-0 All Ratio,7.49,1,N/A
9-8-0-3-0 Protonated,122073.8,107701.2,N/A
9-8-0-3-0 Protonated Ratio,1.13,1,N/A
9-8-0-3-0 All Adducts,146668.44,367957.71,N/A
9-8-0-3-0 All Ratio,1,2.51,N/A
9-8-1-0-0 Protonated,882264.2,602088.9,N/A
9-8-1-0-0 Protonated Ratio,1.47,1,N/A
9-8-1-0-0 All Adducts,882264.19,1763317.17,N/A
9-8-1-0-0 All Ratio,1,2,N/A
9-8-1-1-0 Protonated,19824250,28768020,N/A
9-8-1-1-0 Protonated Ratio,1,1.45,N/A
9-8-1-1-0 All Adducts,26930545.25,35675617,N/A
9-8-1-1-0 All Ratio,1,1.32,N/A
9-8-1-2-0 Protonated,304339.4,792967.1,N/A
9-8-1-2-0 Protonated Ratio,1,2.61,N/A
9-8-1-2-0 All Adducts,4118973.19,1073362.63,N/A
9-8-1-2-0 All Ratio,3.84,1,N/A
9-8-1-3-0 Protonated,212408.2,402729.2,N/A
9-8-1-3-0 Protonated Ratio,1,1.9,N/A
9-8-1-3-0 All Adducts,212408.16,460440.73,N/A
9-8-1-3-0 All Ratio,1,2.17,N/A
9-9-0-0-0 Protonated,17474.22,577606.4,N/A
9-9-0-0-0 Protonated Ratio,1,33.05,N/A
9-9-0-0-0 All Adducts,17474.22,577606.38,N/A
9-9-0-0-0 All Ratio,1,33.05,N/A
9-9-0-1-0 Protonated,14128400,5728060,N/A
9-9-0-1-0 Protonated Ratio,2.47,1,N/A
9-9-0-1-0 All Adducts,14128403,5728060,N/A
9-9-0-1-0 All Ratio,2.47,1,N/A
9-9-0-2-0 Protonated,215575.2,209565.6,N/A
9-9-0-2-0 Protonated Ratio,1.03,1,N/A
9-9-0-2-0 All Adducts,273496.79,250360.49,N/A
9-9-0-2-0 All Ratio,1.09,1,N/A
9-9-0-3-0 Protonated,2897377,7328748,N/A
9-9-0-3-0 Protonated Ratio,1,2.53,N/A
9-9-0-3-0 All Adducts,6501938.44,10808218.75,N/A
9-9-0-3-0 All Ratio,1,1.66,N/A
9-9-0-4-0 Protonated,0,6821.42,N/A
9-9-0-4-0 Protonated Ratio,0,1,N/A
9-9-0-4-0 All Adducts,0,6821.42,N/A
9-9-0-4-0 All Ratio,0,1,N/A
9-9-1-0-0 Protonated,13709.7,14419.05,N/A
9-9-1-0-0 Protonated Ratio,1,1.05,N/A
9-9-1-0-0 All Adducts,13709.7,14419.05,N/A
9-9-1-0-0 All Ratio,1,1.05,N/A
9-9-1-1-0 Protonated,431957.9,193134.3,N/A
9-9-1-1-0 Protonated Ratio,2.24,1,N/A
9-9-1-1-0 All Adducts,431957.91,193134.3,N/A
9-9-1-1-0 All Ratio,2.24,1,N/A
9-9-1-2-0 Protonated,238914.3,316772.6,N/A
9-9-1-2-0 Protonated Ratio,1,1.33,N/A
9-9-1-2-0 All Adducts,948216.77,2039108.92,N/A
9-9-1-2-0 All Ratio,1,2.15,N/A
9-9-1-3-0 Protonated,9561321,16487650,N/A
9-9-1-3-0 Protonated Ratio,1,1.72,N/A
9-9-1-3-0 All Adducts,9561321,16487654,N/A
9-9-1-3-0 All Ratio,1,1.72,N/A
9-9-1-4-0 Protonated,4578.39,6260.48,N/A
9-9-1-4-0 Protonated Ratio,1,1.37,N/A
9-9-1-4-0 All Adducts,4578.38,6260.48,N/A
9-9-1-4-0 All Ratio,1,1.37,N/A
9-10-0-0-0 Protonated,26285.22,20155.57,N/A
9-10-0-0-0 Protonated Ratio,1.3,1,N/A
9-10-0-0-0 All Adducts,26285.22,20155.57,N/A
9-10-0-0-0 All Ratio,1.3,1,N/A
9-10-0-1-0 Protonated,64024.15,63100.54,N/A
9-10-0-1-0 Protonated Ratio,1.01,1,N/A
9-10-0-1-0 All Adducts,64024.15,63100.54,N/A
9-10-0-1-0 All Ratio,1.01,1,N/A
9-10-0-2-0 Protonated,6435.51,25289.54,N/A
9-10-0-2-0 Protonated Ratio,1,3.93,N/A
9-10-0-2-0 All Adducts,6435.51,40992.01,N/A
9-10-0-2-0 All Ratio,1,6.37,N/A
9-10-0-3-0 Protonated,503636.2,402888.4,N/A
9-10-0-3-0 Protonated Ratio,1.25,1,N/A
9-10-0-3-0 All Adducts,503636.19,402888.41,N/A
9-10-0-3-0 All Ratio,1.25,1,N/A
9-10-0-4-0 Protonated,5715.89,4911.86,N/A
9-10-0-4-0 Protonated Ratio,1.16,1,N/A
9-10-0-4-0 All Adducts,5715.89,4911.86,N/A
9-10-0-4-0 All Ratio,1.16,1,N/A
9-10-1-0-0 Protonated,101694,114186.9,N/A
9-10-1-0-0 Protonated Ratio,1,1.12,N/A
9-10-1-0-0 All Adducts,385135.88,376192.43,N/A
9-10-1-0-0 All Ratio,1.02,1,N/A
9-10-1-1-0 Protonated,3443151,1131057,N/A
9-10-1-1-0 Protonated Ratio,3.04,1,N/A
9-10-1-1-0 All Adducts,3443150.75,1328498.5,N/A
9-10-1-1-0 All Ratio,2.59,1,N/A
9-10-1-2-0 Protonated,19886.76,25362.39,N/A
9-10-1-2-0 Protonated Ratio,1,1.28,N/A
9-10-1-2-0 All Adducts,62101.7,77417.84,N/A
9-10-1-2-0 All Ratio,1,1.25,N/A
9-10-1-3-0 Protonated,48804.39,29725.24,N/A
9-10-1-3-0 Protonated Ratio,1.64,1,N/A
9-10-1-3-0 All Adducts,48804.39,29725.24,N/A
9-10-1-3-0 All Ratio,1.64,1,N/A
9-10-1-4-0 Protonated,3373808,4528519,N/A
9-10-1-4-0 Protonated Ratio,1,1.34,N/A
9-10-1-4-0 All Adducts,4691160.5,6080303.63,N/A
9-10-1-4-0 All Ratio,1,1.3,N/A
10-6-0-0-0 Protonated,2845185,2716739,N/A
10-6-0-0-0 Protonated Ratio,1.05,1,N/A
10-6-0-0-0 All Adducts,2845185,2716738.5,N/A
10-6-0-0-0 All Ratio,1.05,1,N/A
10-6-1-0-0 Protonated,5593464,6578699,N/A
10-6-1-0-0 Protonated Ratio,1,1.18,N/A
10-6-1-0-0 All Adducts,6753588.38,6578698.5,N/A
10-6-1-0-0 All Ratio,1.03,1,N/A
10-7-0-0-0 Protonated,1070594,626890.5,N/A
10-7-0-0-0 Protonated Ratio,1.71,1,N/A
10-7-0-0-0 All Adducts,1070594,626890.5,N/A
10-7-0-0-0 All Ratio,1.71,1,N/A
10-7-0-1-0 Protonated,5915.83,11655.31,N/A
10-7-0-1-0 Protonated Ratio,1,1.97,N/A
10-7-0-1-0 All Adducts,12078.55,28394.55,N/A
10-7-0-1-0 All Ratio,1,2.35,N/A
10-7-1-0-0 Protonated,8709.56,13377.08,N/A
10-7-1-0-0 Protonated Ratio,1,1.54,N/A
10-7-1-0-0 All Adducts,8709.56,30048.17,N/A
10-7-1-0-0 All Ratio,1,3.45,N/A
10-7-1-1-0 Protonated,2217502,1427054,N/A
10-7-1-1-0 Protonated Ratio,1.55,1,N/A
10-7-1-1-0 All Adducts,4962368.25,2108450.63,N/A
10-7-1-1-0 All Ratio,2.35,1,N/A
10-8-0-0-0 Protonated,4795857,1963178,N/A
10-8-0-0-0 Protonated Ratio,2.44,1,N/A
10-8-0-0-0 All Adducts,4795857,1963177.63,N/A
10-8-0-0-0 All Ratio,2.44,1,N/A
10-8-0-1-0 Protonated,812511.4,510996.1,N/A
10-8-0-1-0 Protonated Ratio,1.59,1,N/A
10-8-0-1-0 All Adducts,812511.38,510996.09,N/A
10-8-0-1-0 All Ratio,1.59,1,N/A
10-8-0-2-0 Protonated,5000793,2852193,N/A
10-8-0-2-0 Protonated Ratio,1.75,1,N/A
10-8-0-2-0 All Adducts,10442916.5,4533468,N/A
10-8-0-2-0 All Ratio,2.3,1,N/A
10-8-1-0-0 Protonated,13249870,11291590,N/A
10-8-1-0-0 Protonated Ratio,1.17,1,N/A
10-8-1-0-0 All Adducts,13249874,11291594,N/A
10-8-1-0-0 All Ratio,1.17,1,N/A
10-8-1-1-0 Protonated,14989.67,20257.97,N/A
10-8-1-1-0 Protonated Ratio,1,1.35,N/A
10-8-1-1-0 All Adducts,14989.67,52498.41,N/A
10-8-1-1-0 All Ratio,1,3.5,N/A
10-8-1-2-0 Protonated,271450.6,465501.7,N/A
10-8-1-2-0 Protonated Ratio,1,1.71,N/A
10-8-1-2-0 All Adducts,271450.59,465501.69,N/A
10-8-1-2-0 All Ratio,1,1.71,N/A
10-9-0-0-0 Protonated,26102830,35292010,N/A
10-9-0-0-0 Protonated Ratio,1,1.35,N/A
10-9-0-0-0 All Adducts,40470321,68027784,N/A
10-9-0-0-0 All Ratio,1,1.68,N/A
10-9-0-1-0 Protonated,19698.12,24845.58,N/A
10-9-0-1-0 Protonated Ratio,1,1.26,N/A
10-9-0-1-0 All Adducts,19698.12,81497.4,N/A
10-9-0-1-0 All Ratio,1,4.14,N/A
10-9-0-2-0 Protonated,1066966,275309.3,N/A
10-9-0-2-0 Protonated Ratio,3.88,1,N/A
10-9-0-2-0 All Adducts,1066966,275309.31,N/A
10-9-0-2-0 All Ratio,3.88,1,N/A
10-9-0-3-0 Protonated,3816,5194.02,N/A
10-9-0-3-0 Protonated Ratio,1,1.36,N/A
10-9-0-3-0 All Adducts,7789.76,5194.02,N/A
10-9-0-3-0 All Ratio,1.5,1,N/A
10-9-1-0-0 Protonated,589704.8,227449.6,N/A
10-9-1-0-0 Protonated Ratio,2.59,1,N/A
10-9-1-0-0 All Adducts,589704.81,545467.28,N/A
10-9-1-0-0 All Ratio,1.08,1,N/A
10-9-1-1-0 Protonated,158164.8,401363.2,N/A
10-9-1-1-0 Protonated Ratio,1,2.54,N/A
10-9-1-1-0 All Adducts,1089855.15,401363.16,N/A
10-9-1-1-0 All Ratio,2.72,1,N/A
10-9-1-2-0 Protonated,531139.5,268665.1,N/A
10-9-1-2-0 Protonated Ratio,1.98,1,N/A
10-9-1-2-0 All Adducts,531139.5,268665.09,N/A
10-9-1-2-0 All Ratio,1.98,1,N/A
10-9-1-3-0 Protonated,35300.54,53181.58,N/A
10-9-1-3-0 Protonated Ratio,1,1.51,N/A
10-9-1-3-0 All Adducts,35300.54,53181.58,N/A
10-9-1-3-0 All Ratio,1,1.51,N/A
10-10-0-0-0 Protonated,43056520,13247740,N/A
10-10-0-0-0 Protonated Ratio,3.25,1,N/A
10-10-0-0-0 All Adducts,43056524,13247743,N/A
10-10-0-0-0 All Ratio,3.25,1,N/A
10-10-0-1-0 Protonated,5250.09,16773.95,N/A
10-10-0-1-0 Protonated Ratio,1,3.19,N/A
10-10-0-1-0 All Adducts,5250.09,16773.95,N/A
10-10-0-1-0 All Ratio,1,3.19,N/A
10-10-0-2-0 Protonated,0,97553.28,N/A
10-10-0-2-0 Protonated Ratio,0,1,N/A
10-10-0-2-0 All Adducts,0,1084447.01,N/A
10-10-0-2-0 All Ratio,0,1,N/A
10-10-0-3-0 Protonated,419265.8,131344.8,N/A
10-10-0-3-0 Protonated Ratio,3.19,1,N/A
10-10-0-3-0 All Adducts,419265.81,131344.8,N/A
10-10-0-3-0 All Ratio,3.19,1,N/A
10-10-0-4-0 Protonated,4480.26,0,N/A
10-10-0-4-0 Protonated Ratio,1,0,N/A
10-10-0-4-0 All Adducts,4480.26,0,N/A
10-10-0-4-0 All Ratio,1,0,N/A
10-10-1-0-0 Protonated,446798,971608.8,N/A
10-10-1-0-0 Protonated Ratio,1,2.17,N/A
10-10-1-0-0 All Adducts,446798,1161798.05,N/A
10-10-1-0-0 All Ratio,1,2.6,N/A
10-10-1-1-0 Protonated,160865.3,180524.4,N/A
10-10-1-1-0 Protonated Ratio,1,1.12,N/A
10-10-1-1-0 All Adducts,1821391.28,1025158.22,N/A
10-10-1-1-0 All Ratio,1.78,1,N/A
10-10-1-2-0 Protonated,68584.24,115828.1,N/A
10-10-1-2-0 Protonated Ratio,1,1.69,N/A
10-10-1-2-0 All Adducts,68584.24,115828.1,N/A
10-10-1-2-0 All Ratio,1,1.69,N/A
10-10-1-3-0 Protonated,0,8333.73,N/A
10-10-1-3-0 Protonated Ratio,0,1,N/A
10-10-1-3-0 All Adducts,0,8333.73,N/A
10-10-1-3-0 All Ratio,0,1,N/A
10-10-1-4-0 Protonated,42207.5,244288.8,N/A
10-10-1-4-0 Protonated Ratio,1,5.79,N/A
10-10-1-4-0 All Adducts,42207.5,244288.8,N/A
10-10-1-4-0 All Ratio,1,5.79,N/A
10-11-0-0-0 Protonated,527309,347750.7,N/A
10-11-0-0-0 Protonated Ratio,1.52,1,N/A
10-11-0-0-0 All Adducts,527309,347750.69,N/A
10-11-0-0-0 All Ratio,1.52,1,N/A
10-11-0-1-0 Protonated,14442.54,15873.13,N/A
10-11-0-1-0 Protonated Ratio,1,1.1,N/A
10-11-0-1-0 All Adducts,14442.54,15873.13,N/A
10-11-0-1-0 All Ratio,1,1.1,N/A
10-11-0-2-0 Protonated,12087.24,22254.47,N/A
10-11-0-2-0 Protonated Ratio,1,1.84,N/A
10-11-0-2-0 All Adducts,12087.24,115586.63,N/A
10-11-0-2-0 All Ratio,1,9.56,N/A
10-11-0-3-0 Protonated,4727.66,9867.2,N/A
10-11-0-3-0 Protonated Ratio,1,2.09,N/A
10-11-0-3-0 All Adducts,4727.66,9867.2,N/A
10-11-0-3-0 All Ratio,1,2.09,N/A
10-11-0-4-0 Protonated,4918.24,44066.39,N/A
10-11-0-4-0 Protonated Ratio,1,8.96,N/A
10-11-0-4-0 All Adducts,4918.24,44066.39,N/A
10-11-0-4-0 All Ratio,1,8.96,N/A
10-11-1-0-0 Protonated,490694.2,649500.4,N/A
10-11-1-0-0 Protonated Ratio,1,1.32,N/A
10-11-1-0-0 All Adducts,490694.19,649500.38,N/A
10-11-1-0-0 All Ratio,1,1.32,N/A
10-11-1-1-0 Protonated,5771.16,16688.29,N/A
10-11-1-1-0 Protonated Ratio,1,2.89,N/A
10-11-1-1-0 All Adducts,5771.15,16688.29,N/A
10-11-1-1-0 All Ratio,1,2.89,N/A
10-11-1-2-0 Protonated,43810.55,51876.37,N/A
10-11-1-2-0 Protonated Ratio,1,1.18,N/A
10-11-1-2-0 All Adducts,87025,51876.37,N/A
10-11-1-2-0 All Ratio,1.68,1,N/A
10-11-1-4-0 Protonated,5439.42,5506.4,N/A
10-11-1-4-0 Protonated Ratio,1,1.01,N/A
10-11-1-4-0 All Adducts,5439.42,5506.4,N/A
10-11-1-4-0 All Ratio,1,1.01,N/A
11-7-0-0-0 Protonated,134670.1,161010.3,N/A
11-7-0-0-0 Protonated Ratio,1,1.2,N/A
11-7-0-0-0 All Adducts,134670.09,161010.3,N/A
11-7-0-0-0 All Ratio,1,1.2,N/A
11-7-1-0-0 Protonated,3555.24,10229.27,N/A
11-7-1-0-0 Protonated Ratio,1,2.88,N/A
11-7-1-0-0 All Adducts,3555.24,27344.72,N/A
11-7-1-0-0 All Ratio,1,7.69,N/A
11-8-0-0-0 Protonated,4937.99,9704.12,N/A
11-8-0-0-0 Protonated Ratio,1,1.97,N/A
11-8-0-0-0 All Adducts,4937.99,9704.12,N/A
11-8-0-0-0 All Ratio,1,1.97,N/A
11-8-0-1-0 Protonated,8236223,37999200,N/A
11-8-0-1-0 Protonated Ratio,1,4.61,N/A
11-8-0-1-0 All Adducts,8236222.5,37999200,N/A
11-8-0-1-0 All Ratio,1,4.61,N/A
11-8-1-0-0 Protonated,16163.14,46925.36,N/A
11-8-1-0-0 Protonated Ratio,1,2.9,N/A
11-8-1-0-0 All Adducts,16163.14,46925.36,N/A
11-8-1-0-0 All Ratio,1,2.9,N/A
11-8-1-1-0 Protonated,9297654,2314294,N/A
11-8-1-1-0 Protonated Ratio,4.02,1,N/A
11-8-1-1-0 All Adducts,9297654,2314294,N/A
11-8-1-1-0 All Ratio,4.02,1,N/A
11-9-0-0-0 Protonated,858186.4,660328.8,N/A
11-9-0-0-0 Protonated Ratio,1.3,1,N/A
11-9-0-0-0 All Adducts,858186.38,1300331.34,N/A
11-9-0-0-0 All Ratio,1,1.52,N/A
11-9-0-1-0 Protonated,3314.52,47745.58,N/A
11-9-0-1-0 Protonated Ratio,1,14.4,N/A
11-9-0-1-0 All Adducts,3314.52,47745.58,N/A
11-9-0-1-0 All Ratio,1,14.4,N/A
11-9-0-2-0 Protonated,78129.76,79804.63,N/A
11-9-0-2-0 Protonated Ratio,1,1.02,N/A
11-9-0-2-0 All Adducts,78129.76,79804.63,N/A
11-9-0-2-0 All Ratio,1,1.02,N/A
11-9-1-0-0 Protonated,18348.29,32498.58,N/A
11-9-1-0-0 Protonated Ratio,1,1.77,N/A
11-9-1-0-0 All Adducts,50374.92,32498.58,N/A
11-9-1-0-0 All Ratio,1.55,1,N/A
11-9-1-1-0 Protonated,29002430,16304160,N/A
11-9-1-1-0 Protonated Ratio,1.78,1,N/A
11-9-1-1-0 All Adducts,42100609,23963763,N/A
11-9-1-1-0 All Ratio,1.76,1,N/A
11-9-1-2-0 Protonated,5342.94,11465.61,N/A
11-9-1-2-0 Protonated Ratio,1,2.15,N/A
11-9-1-2-0 All Adducts,5342.94,11465.61,N/A
11-9-1-2-0 All Ratio,1,2.15,N/A
11-10-0-0-0 Protonated,14704.44,14592.79,N/A
11-10-0-0-0 Protonated Ratio,1.01,1,N/A
11-10-0-0-0 All Adducts,14704.44,64459.17,N/A
11-10-0-0-0 All Ratio,1,4.38,N/A
11-10-0-1-0 Protonated,176190.6,57433.02,N/A
11-10-0-1-0 Protonated Ratio,3.07,1,N/A
11-10-0-1-0 All Adducts,239766.73,57433.02,N/A
11-10-0-1-0 All Ratio,4.17,1,N/A
11-10-0-2-0 Protonated,5070.5,4825.23,N/A
11-10-0-2-0 Protonated Ratio,1.05,1,N/A
11-10-0-2-0 All Adducts,5070.5,4825.23,N/A
11-10-0-2-0 All Ratio,1.05,1,N/A
11-10-0-3-0 Protonated,368365.5,168434.7,N/A
11-10-0-3-0 Protonated Ratio,2.19,1,N/A
11-10-0-3-0 All Adducts,368365.5,168434.7,N/A
11-10-0-3-0 All Ratio,2.19,1,N/A
11-10-1-0-0 Protonated,169603.9,220682.8,N/A
11-10-1-0-0 Protonated Ratio,1,1.3,N/A
11-10-1-0-0 All Adducts,1030173.07,665412.86,N/A
11-10-1-0-0 All Ratio,1.55,1,N/A
11-10-1-1-0 Protonated,478259.7,286871.1,N/A
11-10-1-1-0 Protonated Ratio,1.67,1,N/A
11-10-1-1-0 All Adducts,2328764.29,533069.38,N/A
11-10-1-1-0 All Ratio,4.37,1,N/A
11-10-1-2-0 Protonated,5801.51,5941.74,N/A
11-10-1-2-0 Protonated Ratio,1,1.02,N/A
11-10-1-2-0 All Adducts,5801.51,5941.73,N/A
11-10-1-2-0 All Ratio,1,1.02,N/A
11-10-1-3-0 Protonated,5448.05,4733.48,N/A
11-10-1-3-0 Protonated Ratio,1.15,1,N/A
11-10-1-3-0 All Adducts,5448.05,4733.48,N/A
11-10-1-3-0 All Ratio,1.15,1,N/A
11-11-0-0-0 Protonated,25389.16,19936.35,N/A
11-11-0-0-0 Protonated Ratio,1.27,1,N/A
11-11-0-0-0 All Adducts,42887.55,40662.92,N/A
11-11-0-0-0 All Ratio,1.05,1,N/A
11-11-0-1-0 Protonated,8921.03,12403.13,N/A
11-11-0-1-0 Protonated Ratio,1,1.39,N/A
11-11-0-1-0 All Adducts,8921.03,12403.13,N/A
11-11-0-1-0 All Ratio,1,1.39,N/A
11-11-0-2-0 Protonated,0,5981.22,N/A
11-11-0-2-0 Protonated Ratio,0,1,N/A
11-11-0-2-0 All Adducts,0,5981.22,N/A
11-11-0-2-0 All Ratio,0,1,N/A
11-11-0-3-0 Protonated,0,5179.71,N/A
11-11-0-3-0 Protonated Ratio,0,1,N/A
11-11-0-3-0 All Adducts,0,5179.71,N/A
11-11-0-3-0 All Ratio,0,1,N/A
11-11-0-4-0 Protonated,57735,12758.28,N/A
11-11-0-4-0 Protonated Ratio,4.53,1,N/A
11-11-0-4-0 All Adducts,57735,12758.28,N/A
11-11-0-4-0 All Ratio,4.53,1,N/A
11-11-1-0-0 Protonated,5649744,3126354,N/A
11-11-1-0-0 Protonated Ratio,1.81,1,N/A
11-11-1-0-0 All Adducts,5649743.5,3126353.5,N/A
11-11-1-0-0 All Ratio,1.81,1,N/A
11-11-1-1-0 Protonated,5427.67,232343.1,N/A
11-11-1-1-0 Protonated Ratio,1,42.81,N/A
11-11-1-1-0 All Adducts,5427.67,232343.09,N/A
11-11-1-1-0 All Ratio,1,42.81,N/A
11-11-1-3-0 Protonated,5311.66,21861.67,N/A
11-11-1-3-0 Protonated Ratio,1,4.12,N/A
11-11-1-3-0 All Adducts,5311.66,21861.67,N/A
11-11-1-3-0 All Ratio,1,4.12,N/A
11-11-1-4-0 Protonated,5391.94,5579.02,N/A
11-11-1-4-0 Protonated Ratio,1,1.03,N/A
11-11-1-4-0 All Adducts,5391.94,5579.02,N/A
11-11-1-4-0 All Ratio,1,1.03,N/A
