Glycan,AD1,AD2,AD_4,AD3,AD_5
7-8-1-1-0 Protonated,6763791,3838974,N/A,2999285,N/A
7-8-1-1-0 Protonated Ratio,2.26,1.28,N/A,1,N/A
7-8-1-1-0 All Adducts,7871731.38,3838973.5,N/A,2999285.25,N/A
7-8-1-1-0 All Ratio,2.62,1.28,N/A,1,N/A
7-8-1-2-0 Protonated,183291.8,210872.7,N/A,72919.26,N/A
7-8-1-2-0 Protonated Ratio,2.51,2.89,N/A,1,N/A
7-8-1-2-0 All Adducts,183291.8,210872.7,N/A,72919.26,N/A
7-8-1-2-0 All Ratio,2.51,2.89,N/A,1,N/A
7-8-1-3-0 Protonated,110277.5,100233.9,N/A,68605.13,N/A
7-8-1-3-0 Protonated Ratio,1.61,1.46,N/A,1,N/A
7-8-1-3-0 All Adducts,270300,100233.89,N/A,222821.29,N/A
7-8-1-3-0 All Ratio,2.7,1,N/A,2.22,N/A
7-8-1-4-0 Protonated,656351.1,904300.8,N/A,622708.1,N/A
7-8-1-4-0 Protonated Ratio,1.05,1.45,N/A,1,N/A
7-8-1-4-0 All Adducts,4883873.1,2240980.03,N/A,1972977.82,N/A
7-8-1-4-0 All Ratio,2.48,1.14,N/A,1,N/A
7-9-0-0-0 Protonated,0,10433.97,N/A,13517.61,N/A
7-9-0-0-0 Protonated Ratio,0,1,N/A,1.3,N/A
7-9-0-0-0 All Adducts,0,18998.1,N/A,13517.61,N/A
7-9-0-0-0 All Ratio,0,1.41,N/A,1,N/A
7-9-0-1-0 Protonated,127862.9,312863.1,N/A,229157.9,N/A
7-9-0-1-0 Protonated Ratio,1,2.45,N/A,1.79,N/A
7-9-0-1-0 All Adducts,198766.68,353097.36,N/A,938999.19,N/A
7-9-0-1-0 All Ratio,1,1.78,N/A,4.72,N/A
7-9-0-2-0 Protonated,164457.9,137149.3,N/A,375000.7,N/A
7-9-0-2-0 Protonated Ratio,1.2,1,N/A,2.73,N/A
7-9-0-2-0 All Adducts,164457.91,137149.3,N/A,1745250.58,N/A
7-9-0-2-0 All Ratio,1.2,1,N/A,12.73,N/A
7-9-1-0-0 Protonated,14350.21,72750.6,N/A,14980.78,N/A
7-9-1-0-0 Protonated Ratio,1,5.07,N/A,1.04,N/A
7-9-1-0-0 All Adducts,43578.21,72750.6,N/A,14980.78,N/A
7-9-1-0-0 All Ratio,2.91,4.86,N/A,1,N/A
7-9-1-1-0 Protonated,286498.9,27334.74,N/A,39507.52,N/A
7-9-1-1-0 Protonated Ratio,10.48,1,N/A,1.45,N/A
7-9-1-1-0 All Adducts,286498.88,27334.74,N/A,39507.52,N/A
7-9-1-1-0 All Ratio,10.48,1,N/A,1.45,N/A
7-9-1-2-0 Protonated,187777.9,400964.9,N/A,110893.3,N/A
7-9-1-2-0 Protonated Ratio,1.69,3.62,N/A,1,N/A
7-9-1-2-0 All Adducts,2266261.19,400964.88,N/A,688897.14,N/A
7-9-1-2-0 All Ratio,5.65,1,N/A,1.72,N/A
8-4-0-0-0 Protonated,720931.1,502002,N/A,876442.1,N/A
8-4-0-0-0 Protonated Ratio,1.44,1,N/A,1.75,N/A
8-4-0-0-0 All Adducts,720931.06,579644.02,N/A,876442.06,N/A
8-4-0-0-0 All Ratio,1.24,1,N/A,1.51,N/A
8-4-1-0-0 Protonated,13962080,15686810,N/A,9231534,N/A
8-4-1-0-0 Protonated Ratio,1.51,1.7,N/A,1,N/A
8-4-1-0-0 All Adducts,13962081,15686806,N/A,9231534,N/A
8-4-1-0-0 All Ratio,1.51,1.7,N/A,1,N/A
8-5-0-0-0 Protonated,1024585,1390934,N/A,489486,N/A
8-5-0-0-0 Protonated Ratio,2.09,2.84,N/A,1,N/A
8-5-0-0-0 All Adducts,1024585,1650569.7,N/A,489486,N/A
8-5-0-0-0 All Ratio,2.09,3.37,N/A,1,N/A
8-5-0-1-0 Protonated,5154.14,0,N/A,11933.34,N/A
8-5-0-1-0 Protonated Ratio,1,0,N/A,2.32,N/A
8-5-0-1-0 All Adducts,32095.89,0,N/A,11933.34,N/A
8-5-0-1-0 All Ratio,2.69,0,N/A,1,N/A
8-5-1-0-0 Protonated,844819.9,302651.1,N/A,673093.9,N/A
8-5-1-0-0 Protonated Ratio,2.79,1,N/A,2.22,N/A
8-5-1-0-0 All Adducts,844819.88,302651.09,N/A,673093.94,N/A
8-5-1-0-0 All Ratio,2.79,1,N/A,2.22,N/A
8-5-1-1-0 Protonated,0,0,N/A,4342.21,N/A
8-5-1-1-0 Protonated Ratio,0,0,N/A,1,N/A
8-5-1-1-0 All Adducts,0,0,N/A,11794.46,N/A
8-5-1-1-0 All Ratio,0,0,N/A,1,N/A
8-6-0-0-0 Protonated,11025440,14016350,N/A,5062012,N/A
8-6-0-0-0 Protonated Ratio,2.18,2.77,N/A,1,N/A
8-6-0-0-0 All Adducts,11025439,14016351,N/A,5062011.5,N/A
8-6-0-0-0 All Ratio,2.18,2.77,N/A,1,N/A
8-6-0-1-0 Protonated,22488.34,6683.45,N/A,8469.07,N/A
8-6-0-1-0 Protonated Ratio,3.36,1,N/A,1.27,N/A
8-6-0-1-0 All Adducts,22488.34,6683.45,N/A,8469.07,N/A
8-6-0-1-0 All Ratio,3.36,1,N/A,1.27,N/A
8-6-0-2-0 Protonated,4036071,1804104,N/A,8466140,N/A
8-6-0-2-0 Protonated Ratio,2.24,1,N/A,4.69,N/A
8-6-0-2-0 All Adducts,4036071,1804104,N/A,8466140,N/A
8-6-0-2-0 All Ratio,2.24,1,N/A,4.69,N/A
8-6-1-0-0 Protonated,19274820,5350021,N/A,12667650,N/A
8-6-1-0-0 Protonated Ratio,3.6,1,N/A,2.37,N/A
8-6-1-0-0 All Adducts,19274820,5350021,N/A,12667650,N/A
8-6-1-0-0 All Ratio,3.6,1,N/A,2.37,N/A
8-6-1-1-0 Protonated,62189.72,298143.2,N/A,65688.56,N/A
8-6-1-1-0 Protonated Ratio,1,4.79,N/A,1.06,N/A
8-6-1-1-0 All Adducts,464772.48,331143.57,N/A,219229.76,N/A
8-6-1-1-0 All Ratio,2.12,1.51,N/A,1,N/A
8-6-1-2-0 Protonated,6708.43,11017.96,N/A,11913.33,N/A
8-6-1-2-0 Protonated Ratio,1,1.64,N/A,1.78,N/A
8-6-1-2-0 All Adducts,28542.31,22174.99,N/A,25711.35,N/A
8-6-1-2-0 All Ratio,1.29,1,N/A,1.16,N/A
8-7-0-0-0 Protonated,5177764,8257919,N/A,4004260,N/A
8-7-0-0-0 Protonated Ratio,1.29,2.06,N/A,1,N/A
8-7-0-0-0 All Adducts,5177764,8257919,N/A,4004260,N/A
8-7-0-0-0 All Ratio,1.29,2.06,N/A,1,N/A
8-7-0-1-0 Protonated,16146.23,11769.16,N/A,23139.83,N/A
8-7-0-1-0 Protonated Ratio,1.37,1,N/A,1.97,N/A
8-7-0-1-0 All Adducts,36280.93,11769.16,N/A,23139.83,N/A
8-7-0-1-0 All Ratio,3.08,1,N/A,1.97,N/A
8-7-0-2-0 Protonated,24650050,23333930,N/A,36731360,N/A
8-7-0-2-0 Protonated Ratio,1.06,1,N/A,1.57,N/A
8-7-0-2-0 All Adducts,28089516.25,23333932,N/A,48399700,N/A
8-7-0-2-0 All Ratio,1.2,1,N/A,2.07,N/A
8-7-0-3-0 Protonated,369840,90123.81,N/A,36541.42,N/A
8-7-0-3-0 Protonated Ratio,10.12,2.47,N/A,1,N/A
8-7-0-3-0 All Adducts,369840.03,90123.81,N/A,62509.94,N/A
8-7-0-3-0 All Ratio,5.92,1.44,N/A,1,N/A
8-7-1-0-0 Protonated,1905550,4515900,N/A,1147941,N/A
8-7-1-0-0 Protonated Ratio,1.66,3.93,N/A,1,N/A
8-7-1-0-0 All Adducts,1905550.38,4515900,N/A,1147941.13,N/A
8-7-1-0-0 All Ratio,1.66,3.93,N/A,1,N/A
8-7-1-1-0 Protonated,39327.83,15017.39,N/A,53801.38,N/A
8-7-1-1-0 Protonated Ratio,2.62,1,N/A,3.58,N/A
8-7-1-1-0 All Adducts,39327.83,43488.68,N/A,53801.38,N/A
8-7-1-1-0 All Ratio,1,1.11,N/A,1.37,N/A
8-7-1-2-0 Protonated,86565760,15444720,N/A,94732820,N/A
8-7-1-2-0 Protonated Ratio,5.6,1,N/A,6.13,N/A
8-7-1-2-0 All Adducts,194919848,31450217,N/A,203418088,N/A
8-7-1-2-0 All Ratio,6.2,1,N/A,6.47,N/A
8-7-1-3-0 Protonated,13693.28,9510.27,N/A,13502.37,N/A
8-7-1-3-0 Protonated Ratio,1.44,1,N/A,1.42,N/A
8-7-1-3-0 All Adducts,33662.68,42491.99,N/A,13502.37,N/A
8-7-1-3-0 All Ratio,2.49,3.15,N/A,1,N/A
8-8-0-0-0 Protonated,490291.3,540625.1,N/A,679291.6,N/A
8-8-0-0-0 Protonated Ratio,1,1.1,N/A,1.39,N/A
8-8-0-0-0 All Adducts,490291.34,540625.06,N/A,679291.63,N/A
8-8-0-0-0 All Ratio,1,1.1,N/A,1.39,N/A
8-8-0-1-0 Protonated,381980.6,575774.6,N/A,1272355,N/A
8-8-0-1-0 Protonated Ratio,1,1.51,N/A,3.33,N/A
8-8-0-1-0 All Adducts,381980.59,575774.63,N/A,1272355,N/A
8-8-0-1-0 All Ratio,1,1.51,N/A,3.33,N/A
8-8-0-2-0 Protonated,801116600,213226400,N/A,424283600,N/A
8-8-0-2-0 Protonated Ratio,3.76,1,N/A,1.99,N/A
8-8-0-2-0 All Adducts,801116608,213226352,N/A,424283552,N/A
8-8-0-2-0 All Ratio,3.76,1,N/A,1.99,N/A
8-8-0-3-0 Protonated,10394.08,10284.32,N/A,16488.64,N/A
8-8-0-3-0 Protonated Ratio,1.01,1,N/A,1.6,N/A
8-8-0-3-0 All Adducts,33334.52,10284.32,N/A,16488.64,N/A
8-8-0-3-0 All Ratio,3.24,1,N/A,1.6,N/A
8-8-0-4-0 Protonated,44075.77,9051.7,N/A,21887.89,N/A
8-8-0-4-0 Protonated Ratio,4.87,1,N/A,2.42,N/A
8-8-0-4-0 All Adducts,44075.77,32442.85,N/A,52419.3,N/A
8-8-0-4-0 All Ratio,1.36,1,N/A,1.62,N/A
8-8-1-0-0 Protonated,11288710,2229291,N/A,5002640,N/A
8-8-1-0-0 Protonated Ratio,5.06,1,N/A,2.24,N/A
8-8-1-0-0 All Adducts,11288709,2229291.25,N/A,5002639.5,N/A
8-8-1-0-0 All Ratio,5.06,1,N/A,2.24,N/A
8-8-1-1-0 Protonated,19865.53,20818.53,N/A,27681.28,N/A
8-8-1-1-0 Protonated Ratio,1,1.05,N/A,1.39,N/A
8-8-1-1-0 All Adducts,19865.53,20818.53,N/A,27681.28,N/A
8-8-1-1-0 All Ratio,1,1.05,N/A,1.39,N/A
8-8-1-2-0 Protonated,304160.7,124609.8,N/A,323250,N/A
8-8-1-2-0 Protonated Ratio,2.44,1,N/A,2.59,N/A
8-8-1-2-0 All Adducts,304160.69,124609.8,N/A,323250,N/A
8-8-1-2-0 All Ratio,2.44,1,N/A,2.59,N/A
8-8-1-3-0 Protonated,556971.6,245942,N/A,410986.1,N/A
8-8-1-3-0 Protonated Ratio,2.26,1,N/A,1.67,N/A
8-8-1-3-0 All Adducts,1352463.57,1038145.45,N/A,947003.04,N/A
8-8-1-3-0 All Ratio,1.43,1.1,N/A,1,N/A
8-8-1-4-0 Protonated,25391.26,4134.46,N/A,18817.1,N/A
8-8-1-4-0 Protonated Ratio,6.14,1,N/A,4.55,N/A
8-8-1-4-0 All Adducts,25391.26,4134.46,N/A,85509.92,N/A
8-8-1-4-0 All Ratio,6.14,1,N/A,20.68,N/A
8-9-0-0-0 Protonated,3548809,3511013,N/A,2720571,N/A
8-9-0-0-0 Protonated Ratio,1.3,1.29,N/A,1,N/A
8-9-0-0-0 All Adducts,3548809,3511012.75,N/A,2720571,N/A
8-9-0-0-0 All Ratio,1.3,1.29,N/A,1,N/A
8-9-0-1-0 Protonated,21831.86,19013.08,N/A,18834.11,N/A
8-9-0-1-0 Protonated Ratio,1.16,1.01,N/A,1,N/A
8-9-0-1-0 All Adducts,21831.86,19013.08,N/A,64884.87,N/A
8-9-0-1-0 All Ratio,1.15,1,N/A,3.41,N/A
8-9-0-2-0 Protonated,555246.3,112754.3,N/A,282291.3,N/A
8-9-0-2-0 Protonated Ratio,4.92,1,N/A,2.5,N/A
8-9-0-2-0 All Adducts,555246.25,112754.3,N/A,282291.31,N/A
8-9-0-2-0 All Ratio,4.92,1,N/A,2.5,N/A
8-9-0-3-0 Protonated,200436.7,200188.4,N/A,192656.7,N/A
8-9-0-3-0 Protonated Ratio,1.04,1.04,N/A,1,N/A
8-9-0-3-0 All Adducts,525735.11,418583.79,N/A,387272.68,N/A
8-9-0-3-0 All Ratio,1.36,1.08,N/A,1,N/A
8-9-0-4-0 Protonated,170823.9,202895.9,N/A,218063.4,N/A
8-9-0-4-0 Protonated Ratio,1,1.19,N/A,1.28,N/A
8-9-0-4-0 All Adducts,1046982.4,894338.07,N/A,567018.87,N/A
8-9-0-4-0 All Ratio,1.85,1.58,N/A,1,N/A
8-9-1-0-0 Protonated,818169.4,661153.7,N/A,293890.6,N/A
8-9-1-0-0 Protonated Ratio,2.78,2.25,N/A,1,N/A
8-9-1-0-0 All Adducts,818169.44,661153.69,N/A,325224.26,N/A
8-9-1-0-0 All Ratio,2.52,2.03,N/A,1,N/A
8-9-1-1-0 Protonated,281441.3,212655.8,N/A,177819.8,N/A
8-9-1-1-0 Protonated Ratio,1.58,1.2,N/A,1,N/A
8-9-1-1-0 All Adducts,1118521.44,711330.97,N/A,1567653.36,N/A
8-9-1-1-0 All Ratio,1.57,1,N/A,2.2,N/A
8-9-1-2-0 Protonated,147561.1,122822.7,N/A,64370.64,N/A
8-9-1-2-0 Protonated Ratio,2.29,1.91,N/A,1,N/A
8-9-1-2-0 All Adducts,214536.89,122822.7,N/A,64370.64,N/A
8-9-1-2-0 All Ratio,3.33,1.91,N/A,1,N/A
8-9-1-3-0 Protonated,2979482,151733,N/A,5743357,N/A
8-9-1-3-0 Protonated Ratio,19.64,1,N/A,37.85,N/A
8-9-1-3-0 All Adducts,2979482,151733,N/A,5743357,N/A
8-9-1-3-0 All Ratio,19.64,1,N/A,37.85,N/A
8-9-1-4-0 Protonated,534923.6,260366.9,N/A,297083.2,N/A
8-9-1-4-0 Protonated Ratio,2.05,1,N/A,1.14,N/A
8-9-1-4-0 All Adducts,3942227.37,638673.52,N/A,834617.18,N/A
8-9-1-4-0 All Ratio,6.17,1,N/A,1.31,N/A
9-5-0-0-0 Protonated,69863.3,29567.93,N/A,15860.79,N/A
9-5-0-0-0 Protonated Ratio,4.4,1.86,N/A,1,N/A
9-5-0-0-0 All Adducts,69863.3,138248.05,N/A,24947.6,N/A
9-5-0-0-0 All Ratio,2.8,5.54,N/A,1,N/A
9-5-1-0-0 Protonated,0,30627.87,N/A,13238.8,N/A
9-5-1-0-0 Protonated Ratio,0,2.31,N/A,1,N/A
9-5-1-0-0 All Adducts,0,30627.87,N/A,13238.8,N/A
9-5-1-0-0 All Ratio,0,2.31,N/A,1,N/A
9-6-0-0-0 Protonated,14755.08,10549.55,N/A,9565.61,N/A
9-6-0-0-0 Protonated Ratio,1.54,1.1,N/A,1,N/A
9-6-0-0-0 All Adducts,14755.08,10549.55,N/A,9565.61,N/A
9-6-0-0-0 All Ratio,1.54,1.1,N/A,1,N/A
9-6-0-1-0 Protonated,987461,354737.1,N/A,405010.6,N/A
9-6-0-1-0 Protonated Ratio,2.78,1,N/A,1.14,N/A
9-6-0-1-0 All Adducts,2963749.75,354737.09,N/A,405010.63,N/A
9-6-0-1-0 All Ratio,8.35,1,N/A,1.14,N/A
9-6-1-0-0 Protonated,62641.65,10189.05,N/A,144807.8,N/A
9-6-1-0-0 Protonated Ratio,6.15,1,N/A,14.21,N/A
9-6-1-0-0 All Adducts,193873.82,10189.05,N/A,144807.8,N/A
9-6-1-0-0 All Ratio,19.03,1,N/A,14.21,N/A
9-6-1-1-0 Protonated,126288.1,275785.3,N/A,278232.6,N/A
9-6-1-1-0 Protonated Ratio,1,2.18,N/A,2.2,N/A
9-6-1-1-0 All Adducts,150507.02,275785.31,N/A,278232.59,N/A
9-6-1-1-0 All Ratio,1,1.83,N/A,1.85,N/A
9-7-0-0-0 Protonated,24703.63,42498.54,N/A,252761.8,N/A
9-7-0-0-0 Protonated Ratio,1,1.72,N/A,10.23,N/A
9-7-0-0-0 All Adducts,24703.63,42498.54,N/A,252761.8,N/A
9-7-0-0-0 All Ratio,1,1.72,N/A,10.23,N/A
9-7-0-1-0 Protonated,1277574,115790.8,N/A,86504.76,N/A
9-7-0-1-0 Protonated Ratio,14.77,1.34,N/A,1,N/A
9-7-0-1-0 All Adducts,1277574,115790.8,N/A,86504.76,N/A
9-7-0-1-0 All Ratio,14.77,1.34,N/A,1,N/A
9-7-0-2-0 Protonated,54826.61,13577.17,N/A,33824.95,N/A
9-7-0-2-0 Protonated Ratio,4.04,1,N/A,2.49,N/A
9-7-0-2-0 All Adducts,54826.61,13577.17,N/A,38795.39,N/A
9-7-0-2-0 All Ratio,4.04,1,N/A,2.86,N/A
9-7-1-0-0 Protonated,147470.1,76587.56,N/A,63429.16,N/A
9-7-1-0-0 Protonated Ratio,2.32,1.21,N/A,1,N/A
9-7-1-0-0 All Adducts,147470.11,85999.62,N/A,116701.66,N/A
9-7-1-0-0 All Ratio,1.71,1,N/A,1.36,N/A
9-7-1-1-0 Protonated,4225404,342581,N/A,267460.8,N/A
9-7-1-1-0 Protonated Ratio,15.8,1.28,N/A,1,N/A
9-7-1-1-0 All Adducts,4225404,342581,N/A,267460.81,N/A
9-7-1-1-0 All Ratio,15.8,1.28,N/A,1,N/A
9-7-1-2-0 Protonated,18426.44,6751,N/A,12034.82,N/A
9-7-1-2-0 Protonated Ratio,2.73,1,N/A,1.78,N/A
9-7-1-2-0 All Adducts,56348.73,18226.63,N/A,45881.34,N/A
9-7-1-2-0 All Ratio,3.09,1,N/A,2.52,N/A
9-8-0-0-0 Protonated,25660.06,50727.96,N/A,26185.49,N/A
9-8-0-0-0 Protonated Ratio,1,1.98,N/A,1.02,N/A
9-8-0-0-0 All Adducts,42324.61,50727.96,N/A,38518.49,N/A
9-8-0-0-0 All Ratio,1.1,1.32,N/A,1,N/A
9-8-0-1-0 Protonated,508230.8,667224.7,N/A,1368884,N/A
9-8-0-1-0 Protonated Ratio,1,1.31,N/A,2.69,N/A
9-8-0-1-0 All Adducts,508230.81,667224.69,N/A,1368884,N/A
9-8-0-1-0 All Ratio,1,1.31,N/A,2.69,N/A
9-8-0-2-0 Protonated,0,7801.5,N/A,6287.67,N/A
9-8-0-2-0 Protonated Ratio,0,1.24,N/A,1,N/A
9-8-0-2-0 All Adducts,0,16430.48,N/A,6287.67,N/A
9-8-0-2-0 All Ratio,0,2.61,N/A,1,N/A
9-8-0-3-0 Protonated,106155.8,32652.96,N/A,51735.95,N/A
9-8-0-3-0 Protonated Ratio,3.25,1,N/A,1.58,N/A
9-8-0-3-0 All Adducts,175628.28,125019.28,N/A,99446.26,N/A
9-8-0-3-0 All Ratio,1.77,1.26,N/A,1,N/A
9-8-1-0-0 Protonated,131480.3,154926.1,N/A,136731,N/A
9-8-1-0-0 Protonated Ratio,1,1.18,N/A,1.04,N/A
9-8-1-0-0 All Adducts,131480.3,154926.06,N/A,163535.92,N/A
9-8-1-0-0 All Ratio,1,1.18,N/A,1.24,N/A
9-8-1-1-0 Protonated,16710220,7911913,N/A,21278580,N/A
9-8-1-1-0 Protonated Ratio,2.11,1,N/A,2.69,N/A
9-8-1-1-0 All Adducts,23915456.88,7911912.5,N/A,21278576,N/A
9-8-1-1-0 All Ratio,3.02,1,N/A,2.69,N/A
9-8-1-2-0 Protonated,267941.5,335689.1,N/A,341920.6,N/A
9-8-1-2-0 Protonated Ratio,1,1.25,N/A,1.28,N/A
9-8-1-2-0 All Adducts,333899,335689.13,N/A,341920.63,N/A
9-8-1-2-0 All Ratio,1,1.01,N/A,1.02,N/A
9-8-1-3-0 Protonated,19028.74,5261.74,N/A,14974.78,N/A
9-8-1-3-0 Protonated Ratio,3.62,1,N/A,2.85,N/A
9-8-1-3-0 All Adducts,19028.74,5261.74,N/A,32162.74,N/A
9-8-1-3-0 All Ratio,3.62,1,N/A,6.11,N/A
9-9-0-0-0 Protonated,19454.71,16898.22,N/A,18871.19,N/A
9-9-0-0-0 Protonated Ratio,1.15,1,N/A,1.12,N/A
9-9-0-0-0 All Adducts,33751.29,42597.08,N/A,47351.34,N/A
9-9-0-0-0 All Ratio,1,1.26,N/A,1.4,N/A
9-9-0-1-0 Protonated,7141300,5556555,N/A,3641431,N/A
9-9-0-1-0 Protonated Ratio,1.96,1.53,N/A,1,N/A
9-9-0-1-0 All Adducts,7141299.5,5556555,N/A,3641430.75,N/A
9-9-0-1-0 All Ratio,1.96,1.53,N/A,1,N/A
9-9-0-2-0 Protonated,58303.86,126026.2,N/A,102583.6,N/A
9-9-0-2-0 Protonated Ratio,1,2.16,N/A,1.76,N/A
9-9-0-2-0 All Adducts,58303.86,126026.2,N/A,102583.6,N/A
9-9-0-2-0 All Ratio,1,2.16,N/A,1.76,N/A
9-9-0-3-0 Protonated,1795970,888219,N/A,1622714,N/A
9-9-0-3-0 Protonated Ratio,2.02,1,N/A,1.83,N/A
9-9-0-3-0 All Adducts,3219078.94,2317647.77,N/A,4017863.08,N/A
9-9-0-3-0 All Ratio,1.39,1,N/A,1.73,N/A
9-9-0-4-0 Protonated,21306.93,0,N/A,6130.97,N/A
9-9-0-4-0 Protonated Ratio,3.48,0,N/A,1,N/A
9-9-0-4-0 All Adducts,53647.11,0,N/A,6130.97,N/A
9-9-0-4-0 All Ratio,8.75,0,N/A,1,N/A
9-9-1-0-0 Protonated,13300.68,12885.51,N/A,16075.84,N/A
9-9-1-0-0 Protonated Ratio,1.03,1,N/A,1.25,N/A
9-9-1-0-0 All Adducts,33069.48,12885.51,N/A,16075.84,N/A
9-9-1-0-0 All Ratio,2.57,1,N/A,1.25,N/A
9-9-1-1-0 Protonated,36653.39,134148.2,N/A,26811.11,N/A
9-9-1-1-0 Protonated Ratio,1.37,5,N/A,1,N/A
9-9-1-1-0 All Adducts,36653.39,134148.2,N/A,56368.77,N/A
9-9-1-1-0 All Ratio,1,3.66,N/A,1.54,N/A
9-9-1-2-0 Protonated,25519.45,12505.93,N/A,30433.02,N/A
9-9-1-2-0 Protonated Ratio,2.04,1,N/A,2.43,N/A
9-9-1-2-0 All Adducts,25519.45,55187.28,N/A,52295.5,N/A
9-9-1-2-0 All Ratio,1,2.16,N/A,2.05,N/A
9-9-1-3-0 Protonated,800495.4,611078,N/A,710573.1,N/A
9-9-1-3-0 Protonated Ratio,1.31,1,N/A,1.16,N/A
9-9-1-3-0 All Adducts,800495.38,611078,N/A,710573.13,N/A
9-9-1-3-0 All Ratio,1.31,1,N/A,1.16,N/A
9-9-1-4-0 Protonated,0,0,N/A,11187.94,N/A
9-9-1-4-0 Protonated Ratio,0,0,N/A,1,N/A
9-9-1-4-0 All Adducts,0,0,N/A,33015.49,N/A
9-9-1-4-0 All Ratio,0,0,N/A,1,N/A
9-10-0-0-0 Protonated,22451.35,17336.05,N/A,22214.63,N/A
9-10-0-0-0 Protonated Ratio,1.3,1,N/A,1.28,N/A
9-10-0-0-0 All Adducts,22451.35,17336.05,N/A,46318.7,N/A
9-10-0-0-0 All Ratio,1.3,1,N/A,2.67,N/A
9-10-0-1-0 Protonated,74143.42,79589.47,N/A,104327.1,N/A
9-10-0-1-0 Protonated Ratio,1,1.07,N/A,1.41,N/A
9-10-0-1-0 All Adducts,74143.42,79589.47,N/A,104327.1,N/A
9-10-0-1-0 All Ratio,1,1.07,N/A,1.41,N/A
9-10-0-2-0 Protonated,98119.57,79159.45,N/A,135200.5,N/A
9-10-0-2-0 Protonated Ratio,1.24,1,N/A,1.71,N/A
9-10-0-2-0 All Adducts,712553.71,87082.66,N/A,448869.16,N/A
9-10-0-2-0 All Ratio,8.18,1,N/A,5.15,N/A
9-10-0-3-0 Protonated,567970.6,47142.52,N/A,251094.3,N/A
9-10-0-3-0 Protonated Ratio,12.05,1,N/A,5.33,N/A
9-10-0-3-0 All Adducts,567970.63,47142.52,N/A,251094.3,N/A
9-10-0-3-0 All Ratio,12.05,1,N/A,5.33,N/A
9-10-1-0-0 Protonated,31210.88,23742.13,N/A,34371.59,N/A
9-10-1-0-0 Protonated Ratio,1.31,1,N/A,1.45,N/A
9-10-1-0-0 All Adducts,155540.89,74859.36,N/A,110035.78,N/A
9-10-1-0-0 All Ratio,2.08,1,N/A,1.47,N/A
9-10-1-1-0 Protonated,2035686,179208.7,N/A,1051276,N/A
9-10-1-1-0 Protonated Ratio,11.36,1,N/A,5.87,N/A
9-10-1-1-0 All Adducts,2035686.38,3139854.81,N/A,1051275.75,N/A
9-10-1-1-0 All Ratio,1.94,2.99,N/A,1,N/A
9-10-1-2-0 Protonated,11378.27,29003.28,N/A,19529.25,N/A
9-10-1-2-0 Protonated Ratio,1,2.55,N/A,1.72,N/A
9-10-1-2-0 All Adducts,11378.27,50133.2,N/A,39395.14,N/A
9-10-1-2-0 All Ratio,1,4.41,N/A,3.46,N/A
9-10-1-3-0 Protonated,188398.9,46426.49,N/A,85092.04,N/A
9-10-1-3-0 Protonated Ratio,4.06,1,N/A,1.83,N/A
9-10-1-3-0 All Adducts,487209.61,78268.62,N/A,117638.43,N/A
9-10-1-3-0 All Ratio,6.22,1,N/A,1.5,N/A
9-10-1-4-0 Protonated,4791604,705549.3,N/A,2342786,N/A
9-10-1-4-0 Protonated Ratio,6.79,1,N/A,3.32,N/A
9-10-1-4-0 All Adducts,5419333.31,1077338.31,N/A,3208355.38,N/A
9-10-1-4-0 All Ratio,5.03,1,N/A,2.98,N/A
10-6-0-0-0 Protonated,638545.3,188465.5,N/A,428741,N/A
10-6-0-0-0 Protonated Ratio,3.39,1,N/A,2.27,N/A
10-6-0-0-0 All Adducts,638545.31,188465.5,N/A,428741,N/A
10-6-0-0-0 All Ratio,3.39,1,N/A,2.27,N/A
10-6-1-0-0 Protonated,620315.6,818728.4,N/A,528727.4,N/A
10-6-1-0-0 Protonated Ratio,1.17,1.55,N/A,1,N/A
10-6-1-0-0 All Adducts,620315.63,818728.38,N/A,528727.38,N/A
10-6-1-0-0 All Ratio,1.17,1.55,N/A,1,N/A
10-7-0-0-0 Protonated,2477853,1351408,N/A,23324740,N/A
10-7-0-0-0 Protonated Ratio,1.83,1,N/A,17.26,N/A
10-7-0-0-0 All Adducts,2477853,1351407.5,N/A,23324744,N/A
10-7-0-0-0 All Ratio,1.83,1,N/A,17.26,N/A
10-7-0-1-0 Protonated,6322.91,0,N/A,6143.09,N/A
10-7-0-1-0 Protonated Ratio,1.03,0,N/A,1,N/A
10-7-0-1-0 All Adducts,6322.91,0,N/A,13830.26,N/A
10-7-0-1-0 All Ratio,1,0,N/A,2.19,N/A
10-7-1-0-0 Protonated,0,47631.14,N/A,36040.98,N/A
10-7-1-0-0 Protonated Ratio,0,1.32,N/A,1,N/A
10-7-1-0-0 All Adducts,0,47631.14,N/A,202726.57,N/A
10-7-1-0-0 All Ratio,0,1,N/A,4.26,N/A
10-7-1-1-0 Protonated,1493516,1633009,N/A,721895.7,N/A
10-7-1-1-0 Protonated Ratio,2.07,2.26,N/A,1,N/A
10-7-1-1-0 All Adducts,1493516,1633008.75,N/A,721895.69,N/A
10-7-1-1-0 All Ratio,2.07,2.26,N/A,1,N/A
10-8-0-0-0 Protonated,371710.3,87482.82,N/A,181329.4,N/A
10-8-0-0-0 Protonated Ratio,4.25,1,N/A,2.07,N/A
10-8-0-0-0 All Adducts,371710.31,87482.82,N/A,181329.36,N/A
