Glycan,AD1,AD2,AD_4,AD3,AD_5
4-5-0-0-0 Protonated,23847130,11412770,N/A,8290169,N/A
4-5-0-0-0 Protonated Ratio,2.88,1.38,N/A,1,N/A
4-5-0-0-0 All Adducts,71585440,11412769,N/A,8290169,N/A
4-5-0-0-0 All Ratio,8.63,1.38,N/A,1,N/A
4-5-0-1-0 Protonated,1284478000,900300400,N/A,1147866000,N/A
4-5-0-1-0 Protonated Ratio,1.43,1,N/A,1.27,N/A
4-5-0-1-0 All Adducts,1284478080,900300352,N/A,1147865728,N/A
4-5-0-1-0 All Ratio,1.43,1,N/A,1.27,N/A
4-5-0-2-0 Protonated,4101884000,3322148000,N/A,2893826000,N/A
4-5-0-2-0 Protonated Ratio,1.42,1.15,N/A,1,N/A
4-5-0-2-0 All Adducts,5847813888,5039219968,N/A,4133590272,N/A
4-5-0-2-0 All Ratio,1.41,1.22,N/A,1,N/A
4-5-1-0-0 Protonated,177955300,34115510,N/A,79200810,N/A
4-5-1-0-0 Protonated Ratio,5.22,1,N/A,2.32,N/A
4-5-1-0-0 All Adducts,366720416,77634400,N/A,164032408,N/A
4-5-1-0-0 All Ratio,4.72,1,N/A,2.11,N/A
4-5-1-1-0 Protonated,421547800,814325800,N/A,352419000,N/A
4-5-1-1-0 Protonated Ratio,1.2,2.31,N/A,1,N/A
4-5-1-1-0 All Adducts,538231448,1051479984,N/A,352419008,N/A
4-5-1-1-0 All Ratio,1.53,2.98,N/A,1,N/A
4-5-1-2-0 Protonated,586203400,425319600,N/A,418015000,N/A
4-5-1-2-0 Protonated Ratio,1.4,1.02,N/A,1,N/A
4-5-1-2-0 All Adducts,671316064,538302240,N/A,483182820,N/A
4-5-1-2-0 All Ratio,1.39,1.11,N/A,1,N/A
4-5-2-0-0 Protonated,908187400,178513300,N/A,415192300,N/A
4-5-2-0-0 Protonated Ratio,5.09,1,N/A,2.33,N/A
4-5-2-0-0 All Adducts,2156474496,400112836,N/A,901688576,N/A
4-5-2-0-0 All Ratio,5.39,1,N/A,2.25,N/A
4-5-3-1-0 Protonated,26787.08,265927.8,N/A,32513.76,N/A
4-5-3-1-0 Protonated Ratio,1,9.93,N/A,1.21,N/A
4-5-3-1-0 All Adducts,41724.04,265927.78,N/A,32513.76,N/A
4-5-3-1-0 All Ratio,1.28,8.18,N/A,1,N/A
4-6-0-0-0 Protonated,692663.1,3538231,N/A,1202285,N/A
4-6-0-0-0 Protonated Ratio,1,5.11,N/A,1.74,N/A
4-6-0-0-0 All Adducts,692663.13,3538230.5,N/A,1202284.88,N/A
4-6-0-0-0 All Ratio,1,5.11,N/A,1.74,N/A
4-6-0-1-0 Protonated,1709352,10395750,N/A,5198702,N/A
4-6-0-1-0 Protonated Ratio,1,6.08,N/A,3.04,N/A
4-6-0-1-0 All Adducts,1958850.66,10395745,N/A,5198702,N/A
4-6-0-1-0 All Ratio,1,5.31,N/A,2.65,N/A
4-6-0-2-0 Protonated,5735948,5083096,N/A,6919580,N/A
4-6-0-2-0 Protonated Ratio,1.13,1,N/A,1.36,N/A
4-6-0-2-0 All Adducts,5735948,5083096,N/A,6919580,N/A
4-6-0-2-0 All Ratio,1.13,1,N/A,1.36,N/A
4-6-1-0-0 Protonated,6316998,14344050,N/A,6074850,N/A
4-6-1-0-0 Protonated Ratio,1.04,2.36,N/A,1,N/A
4-6-1-0-0 All Adducts,6316998,14344051,N/A,7343222.5,N/A
4-6-1-0-0 All Ratio,1,2.27,N/A,1.16,N/A
4-6-1-1-0 Protonated,1724758000,1537336000,N/A,1223145000,N/A
4-6-1-1-0 Protonated Ratio,1.41,1.26,N/A,1,N/A
4-6-1-1-0 All Adducts,1963536032,1776126720,N/A,1390317360,N/A
4-6-1-1-0 All Ratio,1.41,1.28,N/A,1,N/A
4-6-1-2-0 Protonated,3317737,1236540,N/A,626980,N/A
4-6-1-2-0 Protonated Ratio,5.29,1.97,N/A,1,N/A
4-6-1-2-0 All Adducts,3317737,1236540.25,N/A,823704.25,N/A
4-6-1-2-0 All Ratio,4.03,1.5,N/A,1,N/A
4-7-0-0-0 Protonated,19542090,11414050,N/A,7615270,N/A
4-7-0-0-0 Protonated Ratio,2.57,1.5,N/A,1,N/A
4-7-0-0-0 All Adducts,19542086,11414054,N/A,7615269.5,N/A
4-7-0-0-0 All Ratio,2.57,1.5,N/A,1,N/A
4-7-0-1-0 Protonated,30719.87,301742.4,N/A,32289.65,N/A
4-7-0-1-0 Protonated Ratio,1,9.82,N/A,1.05,N/A
4-7-0-1-0 All Adducts,30719.87,301742.38,N/A,32289.65,N/A
4-7-0-1-0 All Ratio,1,9.82,N/A,1.05,N/A
4-7-0-2-0 Protonated,3587950,2460777,N/A,1958377,N/A
4-7-0-2-0 Protonated Ratio,1.83,1.26,N/A,1,N/A
4-7-0-2-0 All Adducts,3587950,2460777,N/A,1958377,N/A
4-7-0-2-0 All Ratio,1.83,1.26,N/A,1,N/A
4-7-1-0-0 Protonated,53383.76,47389.5,N/A,169530.8,N/A
4-7-1-0-0 Protonated Ratio,1.13,1,N/A,3.58,N/A
4-7-1-0-0 All Adducts,90548.6,47389.5,N/A,169530.8,N/A
4-7-1-0-0 All Ratio,1.91,1,N/A,3.58,N/A
4-7-1-1-0 Protonated,1399448,5826939,N/A,1228323,N/A
4-7-1-1-0 Protonated Ratio,1.14,4.74,N/A,1,N/A
4-7-1-1-0 All Adducts,1606377.48,5826939,N/A,1228322.5,N/A
4-7-1-1-0 All Ratio,1.31,4.74,N/A,1,N/A
4-7-1-2-0 Protonated,109736.1,175167.1,N/A,320918,N/A
4-7-1-2-0 Protonated Ratio,1,1.6,N/A,2.92,N/A
4-7-1-2-0 All Adducts,109736.13,175167.06,N/A,320918,N/A
4-7-1-2-0 All Ratio,1,1.6,N/A,2.92,N/A
4-8-0-0-0 Protonated,156791.4,84620.39,N/A,103121.8,N/A
4-8-0-0-0 Protonated Ratio,1.85,1,N/A,1.22,N/A
4-8-0-0-0 All Adducts,686186.49,156228.91,N/A,238348.71,N/A
4-8-0-0-0 All Ratio,4.39,1,N/A,1.53,N/A
4-9-0-0-0 Protonated,13441.43,82431.28,N/A,15330.17,N/A
4-9-0-0-0 Protonated Ratio,1,6.13,N/A,1.14,N/A
4-9-0-0-0 All Adducts,24914.08,82431.28,N/A,15330.17,N/A
4-9-0-0-0 All Ratio,1.63,5.38,N/A,1,N/A
4-10-0-0-0 Protonated,110444.2,110095.8,N/A,86396.7,N/A
4-10-0-0-0 Protonated Ratio,1.28,1.27,N/A,1,N/A
4-10-0-0-0 All Adducts,110444.2,110095.8,N/A,86396.7,N/A
4-10-0-0-0 All Ratio,1.28,1.27,N/A,1,N/A
4-11-0-0-0 Protonated,16671.33,7980.77,N/A,5564.17,N/A
4-11-0-0-0 Protonated Ratio,3,1.43,N/A,1,N/A
4-11-0-0-0 All Adducts,16671.33,7980.77,N/A,5564.17,N/A
4-11-0-0-0 All Ratio,3,1.43,N/A,1,N/A
4-12-0-0-0 Protonated,30803.51,22934.29,N/A,69559.56,N/A
4-12-0-0-0 Protonated Ratio,1.34,1,N/A,3.03,N/A
4-12-0-0-0 All Adducts,48172.52,22934.29,N/A,69559.56,N/A
4-12-0-0-0 All Ratio,2.1,1,N/A,3.03,N/A
4-13-0-0-0 Protonated,480686.9,371075.3,N/A,357907.7,N/A
4-13-0-0-0 Protonated Ratio,1.34,1.04,N/A,1,N/A
4-13-0-0-0 All Adducts,581252.56,607072.77,N/A,569717.48,N/A
4-13-0-0-0 All Ratio,1.02,1.07,N/A,1,N/A
4-14-0-0-0 Protonated,27442.85,63096.72,N/A,299563.1,N/A
4-14-0-0-0 Protonated Ratio,1,2.3,N/A,10.92,N/A
4-14-0-0-0 All Adducts,27442.85,63096.72,N/A,299563.09,N/A
4-14-0-0-0 All Ratio,1,2.3,N/A,10.92,N/A
