Glycan,C1,C2,C3,C_4,C_5
7-8-1-0-0 All Adducts,1245817.59,1240880.53,981861.17,N/A,N/A
7-8-1-0-0 All Ratio,1.27,1.26,1,N/A,N/A
7-8-1-1-0 Protonated,852924.7,223609.9,300859.8,N/A,N/A
7-8-1-1-0 Protonated Ratio,3.81,1,1.35,N/A,N/A
7-8-1-1-0 All Adducts,852924.69,223609.91,300859.81,N/A,N/A
7-8-1-1-0 All Ratio,3.81,1,1.35,N/A,N/A
7-8-1-2-0 Protonated,114374.3,21894.29,105469.9,N/A,N/A
7-8-1-2-0 Protonated Ratio,5.22,1,4.82,N/A,N/A
7-8-1-2-0 All Adducts,114374.3,28385.58,105469.9,N/A,N/A
7-8-1-2-0 All Ratio,4.03,1,3.72,N/A,N/A
7-8-1-3-0 Protonated,202945.4,529510.6,298792.7,N/A,N/A
7-8-1-3-0 Protonated Ratio,1,2.61,1.47,N/A,N/A
7-8-1-3-0 All Adducts,277721.48,675143.52,298792.72,N/A,N/A
7-8-1-3-0 All Ratio,1,2.43,1.08,N/A,N/A
7-8-1-4-0 Protonated,354394.8,151021.7,151846,N/A,N/A
7-8-1-4-0 Protonated Ratio,2.35,1,1.01,N/A,N/A
7-8-1-4-0 All Adducts,1286187.2,886989.62,1614857.27,N/A,N/A
7-8-1-4-0 All Ratio,1.45,1,1.82,N/A,N/A
7-9-0-0-0 Protonated,18712.66,70865.41,15548.3,N/A,N/A
7-9-0-0-0 Protonated Ratio,1.2,4.56,1,N/A,N/A
7-9-0-0-0 All Adducts,45300.04,70865.41,70276.19,N/A,N/A
7-9-0-0-0 All Ratio,1,1.56,1.55,N/A,N/A
7-9-0-1-0 Protonated,26455.41,20177.91,55045.13,N/A,N/A
7-9-0-1-0 Protonated Ratio,1.31,1,2.73,N/A,N/A
7-9-0-1-0 All Adducts,26455.41,27215.87,55045.13,N/A,N/A
7-9-0-1-0 All Ratio,1,1.03,2.08,N/A,N/A
7-9-0-2-0 Protonated,1285628,211001.8,444725.2,N/A,N/A
7-9-0-2-0 Protonated Ratio,6.09,1,2.11,N/A,N/A
7-9-0-2-0 All Adducts,1489122.09,691948.89,526693.98,N/A,N/A
7-9-0-2-0 All Ratio,2.83,1.31,1,N/A,N/A
7-9-1-0-0 Protonated,18941.25,17111.61,11670.95,N/A,N/A
7-9-1-0-0 Protonated Ratio,1.62,1.47,1,N/A,N/A
7-9-1-0-0 All Adducts,48899.06,34941.93,51871.48,N/A,N/A
7-9-1-0-0 All Ratio,1.4,1,1.48,N/A,N/A
7-9-1-1-0 Protonated,34772.96,62395.79,50026.95,N/A,N/A
7-9-1-1-0 Protonated Ratio,1,1.79,1.44,N/A,N/A
7-9-1-1-0 All Adducts,89481.79,62395.79,50026.95,N/A,N/A
7-9-1-1-0 All Ratio,1.79,1.25,1,N/A,N/A
7-9-1-2-0 Protonated,14956.33,15412.46,7297.66,N/A,N/A
7-9-1-2-0 Protonated Ratio,2.05,2.11,1,N/A,N/A
7-9-1-2-0 All Adducts,26367.63,15412.46,17020.15,N/A,N/A
7-9-1-2-0 All Ratio,1.71,1,1.1,N/A,N/A
8-4-0-0-0 Protonated,94792.09,35807.12,89440.89,N/A,N/A
8-4-0-0-0 Protonated Ratio,2.65,1,2.5,N/A,N/A
8-4-0-0-0 All Adducts,94792.09,35807.12,89440.89,N/A,N/A
8-4-0-0-0 All Ratio,2.65,1,2.5,N/A,N/A
8-4-1-0-0 Protonated,16869510,8558710,8531081,N/A,N/A
8-4-1-0-0 Protonated Ratio,1.98,1,1,N/A,N/A
8-4-1-0-0 All Adducts,16869510,8558710,8531081,N/A,N/A
8-4-1-0-0 All Ratio,1.98,1,1,N/A,N/A
8-5-0-0-0 Protonated,4924885,13685750,5693521,N/A,N/A
8-5-0-0-0 Protonated Ratio,1,2.78,1.16,N/A,N/A
8-5-0-0-0 All Adducts,4924884.5,13685753,5693520.5,N/A,N/A
8-5-0-0-0 All Ratio,1,2.78,1.16,N/A,N/A
8-5-0-1-0 Protonated,7405.4,9085.02,0,N/A,N/A
8-5-0-1-0 Protonated Ratio,1,1.23,0,N/A,N/A
8-5-0-1-0 All Adducts,7405.4,9085.02,0,N/A,N/A
8-5-0-1-0 All Ratio,1,1.23,0,N/A,N/A
8-5-1-0-0 Protonated,1104531,355210.7,193332.5,N/A,N/A
8-5-1-0-0 Protonated Ratio,5.71,1.84,1,N/A,N/A
8-5-1-0-0 All Adducts,1104531,355210.69,193332.5,N/A,N/A
8-5-1-0-0 All Ratio,5.71,1.84,1,N/A,N/A
8-5-1-1-0 Protonated,7356.73,4038.97,8250.17,N/A,N/A
8-5-1-1-0 Protonated Ratio,1.82,1,2.04,N/A,N/A
8-5-1-1-0 All Adducts,7356.73,31116.5,17749.36,N/A,N/A
8-5-1-1-0 All Ratio,1,4.23,2.41,N/A,N/A
8-6-0-0-0 Protonated,11764240,9184626,9927776,N/A,N/A
8-6-0-0-0 Protonated Ratio,1.28,1,1.08,N/A,N/A
8-6-0-0-0 All Adducts,11764238,9184626,9927776,N/A,N/A
8-6-0-0-0 All Ratio,1.28,1,1.08,N/A,N/A
8-6-0-1-0 Protonated,15013.08,10507.51,3264.74,N/A,N/A
8-6-0-1-0 Protonated Ratio,4.6,3.22,1,N/A,N/A
8-6-0-1-0 All Adducts,15013.08,15799.08,3264.74,N/A,N/A
8-6-0-1-0 All Ratio,4.6,4.84,1,N/A,N/A
8-6-0-2-0 Protonated,7610402,5226667,3851824,N/A,N/A
8-6-0-2-0 Protonated Ratio,1.98,1.36,1,N/A,N/A
8-6-0-2-0 All Adducts,7610402,5226667,3851824,N/A,N/A
8-6-0-2-0 All Ratio,1.98,1.36,1,N/A,N/A
8-6-1-0-0 Protonated,6498648,4338450,9405636,N/A,N/A
8-6-1-0-0 Protonated Ratio,1.5,1,2.17,N/A,N/A
8-6-1-0-0 All Adducts,6498648,4338449.5,9405636,N/A,N/A
8-6-1-0-0 All Ratio,1.5,1,2.17,N/A,N/A
8-6-1-1-0 Protonated,13039.15,11914.31,4874.85,N/A,N/A
8-6-1-1-0 Protonated Ratio,2.67,2.44,1,N/A,N/A
8-6-1-1-0 All Adducts,38284.56,11914.31,11209.5,N/A,N/A
8-6-1-1-0 All Ratio,3.42,1.06,1,N/A,N/A
8-6-1-2-0 Protonated,16176.88,10364.35,17502.97,N/A,N/A
8-6-1-2-0 Protonated Ratio,1.56,1,1.69,N/A,N/A
8-6-1-2-0 All Adducts,16176.88,25174.56,42116.45,N/A,N/A
8-6-1-2-0 All Ratio,1,1.56,2.6,N/A,N/A
8-7-0-0-0 Protonated,10915640,3748564,14032100,N/A,N/A
8-7-0-0-0 Protonated Ratio,2.91,1,3.74,N/A,N/A
8-7-0-0-0 All Adducts,10915636,3748563.5,14032096,N/A,N/A
8-7-0-0-0 All Ratio,2.91,1,3.74,N/A,N/A
8-7-0-1-0 Protonated,23305.54,31986.01,17690.62,N/A,N/A
8-7-0-1-0 Protonated Ratio,1.32,1.81,1,N/A,N/A
8-7-0-1-0 All Adducts,23305.54,31986.01,37270.73,N/A,N/A
8-7-0-1-0 All Ratio,1,1.37,1.6,N/A,N/A
8-7-0-2-0 Protonated,2990659,9536089,18742500,N/A,N/A
8-7-0-2-0 Protonated Ratio,1,3.19,6.27,N/A,N/A
8-7-0-2-0 All Adducts,6159662.28,9536089,18742502,N/A,N/A
8-7-0-2-0 All Ratio,1,1.55,3.04,N/A,N/A
8-7-0-3-0 Protonated,47330.04,24180.9,20397.39,N/A,N/A
8-7-0-3-0 Protonated Ratio,2.32,1.19,1,N/A,N/A
8-7-0-3-0 All Adducts,47330.04,24180.9,20397.39,N/A,N/A
8-7-0-3-0 All Ratio,2.32,1.19,1,N/A,N/A
8-7-1-0-0 Protonated,207375.9,395987.6,254152.5,N/A,N/A
8-7-1-0-0 Protonated Ratio,1,1.91,1.23,N/A,N/A
8-7-1-0-0 All Adducts,207375.91,395987.59,254152.5,N/A,N/A
8-7-1-0-0 All Ratio,1,1.91,1.23,N/A,N/A
8-7-1-1-0 Protonated,5467361,53134.27,18120.15,N/A,N/A
8-7-1-1-0 Protonated Ratio,301.73,2.93,1,N/A,N/A
8-7-1-1-0 All Adducts,5467361,53134.27,18120.15,N/A,N/A
8-7-1-1-0 All Ratio,301.73,2.93,1,N/A,N/A
8-7-1-2-0 Protonated,76763780,21535030,26934210,N/A,N/A
8-7-1-2-0 Protonated Ratio,3.56,1,1.25,N/A,N/A
8-7-1-2-0 All Adducts,113544732,54544110,49885840,N/A,N/A
8-7-1-2-0 All Ratio,2.28,1.09,1,N/A,N/A
8-7-1-3-0 Protonated,36566.8,19469.68,12124.7,N/A,N/A
8-7-1-3-0 Protonated Ratio,3.02,1.61,1,N/A,N/A
8-7-1-3-0 All Adducts,304911.23,29164.18,20587.66,N/A,N/A
8-7-1-3-0 All Ratio,14.81,1.42,1,N/A,N/A
8-8-0-0-0 Protonated,121562.1,98010.01,115068.3,N/A,N/A
8-8-0-0-0 Protonated Ratio,1.24,1,1.17,N/A,N/A
8-8-0-0-0 All Adducts,389545.71,98010.01,147830.75,N/A,N/A
8-8-0-0-0 All Ratio,3.97,1,1.51,N/A,N/A
8-8-0-1-0 Protonated,776242.1,78549.78,555926.4,N/A,N/A
8-8-0-1-0 Protonated Ratio,9.88,1,7.08,N/A,N/A
8-8-0-1-0 All Adducts,776242.13,78549.78,555926.38,N/A,N/A
8-8-0-1-0 All Ratio,9.88,1,7.08,N/A,N/A
8-8-0-2-0 Protonated,375986400,206045100,279680700,N/A,N/A
8-8-0-2-0 Protonated Ratio,1.82,1,1.36,N/A,N/A
8-8-0-2-0 All Adducts,375986432,206045120,279680672,N/A,N/A
8-8-0-2-0 All Ratio,1.82,1,1.36,N/A,N/A
8-8-0-3-0 Protonated,114568.6,100266.4,60233.51,N/A,N/A
8-8-0-3-0 Protonated Ratio,1.9,1.66,1,N/A,N/A
8-8-0-3-0 All Adducts,464946.51,100266.35,90742.96,N/A,N/A
8-8-0-3-0 All Ratio,5.12,1.1,1,N/A,N/A
8-8-0-4-0 Protonated,130523.5,87750.48,49589.26,N/A,N/A
8-8-0-4-0 Protonated Ratio,2.63,1.77,1,N/A,N/A
8-8-0-4-0 All Adducts,318551.31,115587.98,129752.33,N/A,N/A
8-8-0-4-0 All Ratio,2.76,1,1.12,N/A,N/A
8-8-1-0-0 Protonated,13596250,2704577,7978745,N/A,N/A
8-8-1-0-0 Protonated Ratio,5.03,1,2.95,N/A,N/A
8-8-1-0-0 All Adducts,13596248,2704577,7978744.5,N/A,N/A
8-8-1-0-0 All Ratio,5.03,1,2.95,N/A,N/A
8-8-1-1-0 Protonated,110844.7,59303.85,105974.1,N/A,N/A
8-8-1-1-0 Protonated Ratio,1.87,1,1.79,N/A,N/A
8-8-1-1-0 All Adducts,233628.62,299356.63,134096.92,N/A,N/A
8-8-1-1-0 All Ratio,1.74,2.23,1,N/A,N/A
8-8-1-2-0 Protonated,270393.5,77744.98,111620.5,N/A,N/A
8-8-1-2-0 Protonated Ratio,3.48,1,1.44,N/A,N/A
8-8-1-2-0 All Adducts,270393.5,77744.98,111620.5,N/A,N/A
8-8-1-2-0 All Ratio,3.48,1,1.44,N/A,N/A
8-8-1-3-0 Protonated,440411.3,145757.5,149811.8,N/A,N/A
8-8-1-3-0 Protonated Ratio,3.02,1,1.03,N/A,N/A
8-8-1-3-0 All Adducts,572425.41,287821.16,307830.66,N/A,N/A
8-8-1-3-0 All Ratio,1.99,1,1.07,N/A,N/A
8-8-1-4-0 Protonated,17254.69,6825.57,7885.12,N/A,N/A
8-8-1-4-0 Protonated Ratio,2.53,1,1.16,N/A,N/A
8-8-1-4-0 All Adducts,24672.52,6825.57,7885.12,N/A,N/A
8-8-1-4-0 All Ratio,3.61,1,1.16,N/A,N/A
8-9-0-0-0 Protonated,4549565,8395891,1743251,N/A,N/A
8-9-0-0-0 Protonated Ratio,2.61,4.82,1,N/A,N/A
8-9-0-0-0 All Adducts,5231859,8395891,1981745.95,N/A,N/A
8-9-0-0-0 All Ratio,2.64,4.24,1,N/A,N/A
8-9-0-1-0 Protonated,139670.8,159656.6,161307.2,N/A,N/A
8-9-0-1-0 Protonated Ratio,1,1.14,1.15,N/A,N/A
8-9-0-1-0 All Adducts,482240.19,191449.59,377527.81,N/A,N/A
8-9-0-1-0 All Ratio,2.52,1,1.97,N/A,N/A
8-9-0-2-0 Protonated,6985963,4141232,3334111,N/A,N/A
8-9-0-2-0 Protonated Ratio,2.1,1.24,1,N/A,N/A
8-9-0-2-0 All Adducts,6985962.5,4141232,3334110.5,N/A,N/A
8-9-0-2-0 All Ratio,2.1,1.24,1,N/A,N/A
8-9-0-3-0 Protonated,378755.2,481325,411850.1,N/A,N/A
8-9-0-3-0 Protonated Ratio,1,1.27,1.09,N/A,N/A
8-9-0-3-0 All Adducts,785195.14,602891.73,1289190.05,N/A,N/A
8-9-0-3-0 All Ratio,1.3,1,2.14,N/A,N/A
8-9-0-4-0 Protonated,405404.6,311692.1,238522.8,N/A,N/A
8-9-0-4-0 Protonated Ratio,1.7,1.31,1,N/A,N/A
8-9-0-4-0 All Adducts,2650958.03,1497726.09,450171.7,N/A,N/A
8-9-0-4-0 All Ratio,5.89,3.33,1,N/A,N/A
8-9-1-0-0 Protonated,807633.1,433036.8,296670.7,N/A,N/A
8-9-1-0-0 Protonated Ratio,2.72,1.46,1,N/A,N/A
8-9-1-0-0 All Adducts,807633.13,433036.84,296670.66,N/A,N/A
8-9-1-0-0 All Ratio,2.72,1.46,1,N/A,N/A
8-9-1-1-0 Protonated,30960.24,36783.86,28580.44,N/A,N/A
8-9-1-1-0 Protonated Ratio,1.08,1.29,1,N/A,N/A
8-9-1-1-0 All Adducts,133127.35,36783.86,28580.44,N/A,N/A
8-9-1-1-0 All Ratio,4.66,1.29,1,N/A,N/A
8-9-1-2-0 Protonated,507433.8,198400,64022.14,N/A,N/A
8-9-1-2-0 Protonated Ratio,7.93,3.1,1,N/A,N/A
8-9-1-2-0 All Adducts,507433.78,368082,187373.86,N/A,N/A
8-9-1-2-0 All Ratio,2.71,1.96,1,N/A,N/A
8-9-1-3-0 Protonated,5387801,521106.3,322248.7,N/A,N/A
8-9-1-3-0 Protonated Ratio,16.72,1.62,1,N/A,N/A
8-9-1-3-0 All Adducts,5387801,521106.31,322248.69,N/A,N/A
8-9-1-3-0 All Ratio,16.72,1.62,1,N/A,N/A
8-9-1-4-0 Protonated,129463.1,269470.6,202406.3,N/A,N/A
8-9-1-4-0 Protonated Ratio,1,2.08,1.56,N/A,N/A
8-9-1-4-0 All Adducts,297109.22,269470.59,265456.19,N/A,N/A
8-9-1-4-0 All Ratio,1.12,1.02,1,N/A,N/A
9-5-0-0-0 Protonated,49872.14,733718.3,258815.3,N/A,N/A
9-5-0-0-0 Protonated Ratio,1,14.71,5.19,N/A,N/A
9-5-0-0-0 All Adducts,924636.7,847881.63,499339.06,N/A,N/A
9-5-0-0-0 All Ratio,1.85,1.7,1,N/A,N/A
9-5-1-0-0 Protonated,10768.92,6918.79,17358.67,N/A,N/A
9-5-1-0-0 Protonated Ratio,1.56,1,2.51,N/A,N/A
9-5-1-0-0 All Adducts,10768.92,6918.79,38439.56,N/A,N/A
9-5-1-0-0 All Ratio,1.56,1,5.56,N/A,N/A
9-6-0-0-0 Protonated,18710.98,41449.96,10147.3,N/A,N/A
9-6-0-0-0 Protonated Ratio,1.84,4.08,1,N/A,N/A
9-6-0-0-0 All Adducts,124041.01,41449.96,17994.51,N/A,N/A
9-6-0-0-0 All Ratio,6.89,2.3,1,N/A,N/A
9-6-0-1-0 Protonated,233492.5,94722.97,96904.49,N/A,N/A
9-6-0-1-0 Protonated Ratio,2.47,1,1.02,N/A,N/A
9-6-0-1-0 All Adducts,452180.41,94722.97,193217.07,N/A,N/A
9-6-0-1-0 All Ratio,4.77,1,2.04,N/A,N/A
9-6-1-0-0 Protonated,90101.31,24334.98,52793.59,N/A,N/A
9-6-1-0-0 Protonated Ratio,3.7,1,2.17,N/A,N/A
9-6-1-0-0 All Adducts,176133.46,53657.62,119388.09,N/A,N/A
9-6-1-0-0 All Ratio,3.28,1,2.22,N/A,N/A
9-6-1-1-0 Protonated,466824.4,117055,34642.3,N/A,N/A
9-6-1-1-0 Protonated Ratio,13.48,3.38,1,N/A,N/A
9-6-1-1-0 All Adducts,466824.41,117055,34642.3,N/A,N/A
9-6-1-1-0 All Ratio,13.48,3.38,1,N/A,N/A
9-7-0-0-0 Protonated,86647.79,19495.8,38317.25,N/A,N/A
9-7-0-0-0 Protonated Ratio,4.44,1,1.97,N/A,N/A
9-7-0-0-0 All Adducts,86647.79,19495.8,38317.25,N/A,N/A
9-7-0-0-0 All Ratio,4.44,1,1.97,N/A,N/A
9-7-0-1-0 Protonated,414076.7,158171,23139.27,N/A,N/A
9-7-0-1-0 Protonated Ratio,17.89,6.84,1,N/A,N/A
9-7-0-1-0 All Adducts,414076.69,158171,23139.27,N/A,N/A
9-7-0-1-0 All Ratio,17.89,6.84,1,N/A,N/A
9-7-0-2-0 Protonated,17397.07,25774.44,10024.63,N/A,N/A
9-7-0-2-0 Protonated Ratio,1.74,2.57,1,N/A,N/A
9-7-0-2-0 All Adducts,17397.07,25774.44,19498.95,N/A,N/A
9-7-0-2-0 All Ratio,1,1.48,1.12,N/A,N/A
9-7-1-0-0 Protonated,452117,326607.9,314031.9,N/A,N/A
9-7-1-0-0 Protonated Ratio,1.44,1.04,1,N/A,N/A
9-7-1-0-0 All Adducts,3460257.9,862212.21,723869.56,N/A,N/A
9-7-1-0-0 All Ratio,4.78,1.19,1,N/A,N/A
9-7-1-1-0 Protonated,7991291,182699.4,237701.2,N/A,N/A
9-7-1-1-0 Protonated Ratio,43.74,1,1.3,N/A,N/A
9-7-1-1-0 All Adducts,7991291,182699.41,237701.2,N/A,N/A
9-7-1-1-0 All Ratio,43.74,1,1.3,N/A,N/A
9-7-1-2-0 Protonated,46062.07,39839.29,42224.7,N/A,N/A
9-7-1-2-0 Protonated Ratio,1.16,1,1.06,N/A,N/A
9-7-1-2-0 All Adducts,148759.32,308079.68,344051,N/A,N/A
9-7-1-2-0 All Ratio,1,2.07,2.31,N/A,N/A
9-8-0-0-0 Protonated,117499.8,122005.1,292590.2,N/A,N/A
9-8-0-0-0 Protonated Ratio,1,1.04,2.49,N/A,N/A
9-8-0-0-0 All Adducts,608083.4,177057.98,292590.22,N/A,N/A
9-8-0-0-0 All Ratio,3.43,1,1.65,N/A,N/A
9-8-0-1-0 Protonated,1230395,387884.4,108710.6,N/A,N/A
9-8-0-1-0 Protonated Ratio,11.32,3.57,1,N/A,N/A
9-8-0-1-0 All Adducts,1230395,387884.41,108710.6,N/A,N/A
9-8-0-1-0 All Ratio,11.32,3.57,1,N/A,N/A
9-8-0-2-0 Protonated,22222.54,21533.91,15585.75,N/A,N/A
9-8-0-2-0 Protonated Ratio,1.43,1.38,1,N/A,N/A
9-8-0-2-0 All Adducts,39285.21,42133.91,15585.75,N/A,N/A
9-8-0-2-0 All Ratio,2.52,2.7,1,N/A,N/A
9-8-0-3-0 Protonated,596955,41604.59,55376.84,N/A,N/A
9-8-0-3-0 Protonated Ratio,14.35,1,1.33,N/A,N/A
9-8-0-3-0 All Adducts,743252.41,101934.6,94150.92,N/A,N/A
9-8-0-3-0 All Ratio,7.89,1.08,1,N/A,N/A
9-8-1-0-0 Protonated,249566.4,134887.9,146714.8,N/A,N/A
9-8-1-0-0 Protonated Ratio,1.85,1,1.09,N/A,N/A
9-8-1-0-0 All Adducts,1027881.38,244872.62,240275.18,N/A,N/A
9-8-1-0-0 All Ratio,4.28,1.02,1,N/A,N/A
9-8-1-1-0 Protonated,3982193,775246.8,501245.3,N/A,N/A
9-8-1-1-0 Protonated Ratio,7.94,1.55,1,N/A,N/A
9-8-1-1-0 All Adducts,3982192.75,881522.35,574268.99,N/A,N/A
9-8-1-1-0 All Ratio,6.93,1.54,1,N/A,N/A
9-8-1-2-0 Protonated,1575872,1649945,977910.6,N/A,N/A
9-8-1-2-0 Protonated Ratio,1.61,1.69,1,N/A,N/A
9-8-1-2-0 All Adducts,1575872.13,1649945,977910.56,N/A,N/A
9-8-1-2-0 All Ratio,1.61,1.69,1,N/A,N/A
9-8-1-3-0 Protonated,30112.95,10992.03,9144.48,N/A,N/A
9-8-1-3-0 Protonated Ratio,3.29,1.2,1,N/A,N/A
9-8-1-3-0 All Adducts,37194.19,63732.87,37034.99,N/A,N/A
9-8-1-3-0 All Ratio,1,1.72,1,N/A,N/A
9-9-0-0-0 Protonated,209639.1,73780.37,85052.03,N/A,N/A
9-9-0-0-0 Protonated Ratio,2.84,1,1.15,N/A,N/A
9-9-0-0-0 All Adducts,685100.79,1318188.4,338839.96,N/A,N/A
9-9-0-0-0 All Ratio,2.02,3.89,1,N/A,N/A
9-9-0-1-0 Protonated,1846273,5252059,4879825,N/A,N/A
9-9-0-1-0 Protonated Ratio,1,2.84,2.64,N/A,N/A
9-9-0-1-0 All Adducts,1846273.38,5252058.5,4879824.5,N/A,N/A
9-9-0-1-0 All Ratio,1,2.84,2.64,N/A,N/A
9-9-0-2-0 Protonated,75782.35,19877.87,81173.36,N/A,N/A
9-9-0-2-0 Protonated Ratio,3.81,1,4.08,N/A,N/A
9-9-0-2-0 All Adducts,75782.35,25801.91,81173.36,N/A,N/A
9-9-0-2-0 All Ratio,2.94,1,3.15,N/A,N/A
9-9-0-3-0 Protonated,3977604,1258443,728212.4,N/A,N/A
9-9-0-3-0 Protonated Ratio,5.46,1.73,1,N/A,N/A
9-9-0-3-0 All Adducts,5927626.63,2397450.63,1392102.34,N/A,N/A
9-9-0-3-0 All Ratio,4.26,1.72,1,N/A,N/A
9-9-0-4-0 Protonated,15412.37,7527.89,0,N/A,N/A
9-9-0-4-0 Protonated Ratio,2.05,1,0,N/A,N/A
9-9-0-4-0 All Adducts,15412.37,14381.27,0,N/A,N/A
9-9-0-4-0 All Ratio,1.07,1,0,N/A,N/A
9-9-1-0-0 Protonated,224634.5,191405.9,207576.1,N/A,N/A
9-9-1-0-0 Protonated Ratio,1.17,1,1.08,N/A,N/A
9-9-1-0-0 All Adducts,1377818.95,901307.82,899910.45,N/A,N/A
9-9-1-0-0 All Ratio,1.53,1,1,N/A,N/A
9-9-1-1-0 Protonated,497805.9,150761.9,392564.7,N/A,N/A
9-9-1-1-0 Protonated Ratio,3.3,1,2.6,N/A,N/A
9-9-1-1-0 All Adducts,497805.91,150761.91,392564.69,N/A,N/A
9-9-1-1-0 All Ratio,3.3,1,2.6,N/A,N/A
9-9-1-2-0 Protonated,141178.2,171200.8,122715,N/A,N/A
9-9-1-2-0 Protonated Ratio,1.15,1.4,1,N/A,N/A
9-9-1-2-0 All Adducts,1115515.96,473876.31,372511.04,N/A,N/A
9-9-1-2-0 All Ratio,2.99,1.27,1,N/A,N/A
9-9-1-3-0 Protonated,11198630,4623696,718271.8,N/A,N/A
9-9-1-3-0 Protonated Ratio,15.59,6.44,1,N/A,N/A
9-9-1-3-0 All Adducts,11198626,4623695.5,718271.81,N/A,N/A
9-9-1-3-0 All Ratio,15.59,6.44,1,N/A,N/A
9-9-1-4-0 Protonated,9675.12,5268.49,4695.28,N/A,N/A
9-9-1-4-0 Protonated Ratio,2.06,1.12,1,N/A,N/A
9-9-1-4-0 All Adducts,9675.12,5268.49,4695.28,N/A,N/A
9-9-1-4-0 All Ratio,2.06,1.12,1,N/A,N/A
9-10-0-0-0 Protonated,25688.11,21921.07,21214.7,N/A,N/A
9-10-0-0-0 Protonated Ratio,1.21,1.03,1,N/A,N/A
9-10-0-0-0 All Adducts,25688.11,21921.07,21214.7,N/A,N/A
9-10-0-0-0 All Ratio,1.21,1.03,1,N/A,N/A
9-10-0-1-0 Protonated,46038.29,46362.16,13232.02,N/A,N/A
9-10-0-1-0 Protonated Ratio,3.48,3.5,1,N/A,N/A
9-10-0-1-0 All Adducts,46038.29,46362.16,13232.02,N/A,N/A
9-10-0-1-0 All Ratio,3.48,3.5,1,N/A,N/A
9-10-0-2-0 Protonated,174743.1,119355.1,76182.06,N/A,N/A
9-10-0-2-0 Protonated Ratio,2.29,1.57,1,N/A,N/A
9-10-0-2-0 All Adducts,1424932.84,300337.27,76182.06,N/A,N/A
9-10-0-2-0 All Ratio,18.7,3.94,1,N/A,N/A
9-10-0-3-0 Protonated,685204.6,133064.2,156096.7,N/A,N/A
9-10-0-3-0 Protonated Ratio,5.15,1,1.17,N/A,N/A
9-10-0-3-0 All Adducts,685204.63,133064.2,156096.7,N/A,N/A
9-10-0-3-0 All Ratio,5.15,1,1.17,N/A,N/A
9-10-0-4-0 Protonated,6219.47,0,4749.02,N/A,N/A
9-10-0-4-0 Protonated Ratio,1.31,0,1,N/A,N/A
9-10-0-4-0 All Adducts,6219.47,0,4749.02,N/A,N/A
9-10-0-4-0 All Ratio,1.31,0,1,N/A,N/A
9-10-1-0-0 Protonated,19500.33,14476.8,11029.42,N/A,N/A
9-10-1-0-0 Protonated Ratio,1.77,1.31,1,N/A,N/A
9-10-1-0-0 All Adducts,38779.59,14476.8,27064.56,N/A,N/A
9-10-1-0-0 All Ratio,2.68,1,1.87,N/A,N/A
9-10-1-1-0 Protonated,783352,430475.3,1233524,N/A,N/A
9-10-1-1-0 Protonated Ratio,1.82,1,2.87,N/A,N/A
9-10-1-1-0 All Adducts,783352,430475.25,1233524.25,N/A,N/A
9-10-1-1-0 All Ratio,1.82,1,2.87,N/A,N/A
9-10-1-2-0 Protonated,477182.5,324435.7,305657,N/A,N/A
9-10-1-2-0 Protonated Ratio,1.56,1.06,1,N/A,N/A
9-10-1-2-0 All Adducts,1504112.09,856786.71,756544.09,N/A,N/A
9-10-1-2-0 All Ratio,1.99,1.13,1,N/A,N/A
9-10-1-3-0 Protonated,28031.03,26312.22,11353.38,N/A,N/A
9-10-1-3-0 Protonated Ratio,2.47,2.32,1,N/A,N/A
9-10-1-3-0 All Adducts,28031.03,26312.22,11353.38,N/A,N/A
9-10-1-3-0 All Ratio,2.47,2.32,1,N/A,N/A
9-10-1-4-0 Protonated,569057.4,454543.3,151217.6,N/A,N/A
9-10-1-4-0 Protonated Ratio,3.76,3.01,1,N/A,N/A
9-10-1-4-0 All Adducts,658538.88,454543.31,216411.31,N/A,N/A
9-10-1-4-0 All Ratio,3.04,2.1,1,N/A,N/A
10-6-0-0-0 Protonated,894932.3,217352.7,155411,N/A,N/A
10-6-0-0-0 Protonated Ratio,5.76,1.4,1,N/A,N/A
10-6-0-0-0 All Adducts,894932.25,217352.7,155411,N/A,N/A
10-6-0-0-0 All Ratio,5.76,1.4,1,N/A,N/A
10-6-1-0-0 Protonated,8074986,12789150,4766367,N/A,N/A
10-6-1-0-0 Protonated Ratio,1.69,2.68,1,N/A,N/A
10-6-1-0-0 All Adducts,8074985.5,14551242.13,4766367,N/A,N/A
10-6-1-0-0 All Ratio,1.69,3.05,1,N/A,N/A
10-7-0-0-0 Protonated,2080827,451656.2,138756.1,N/A,N/A
10-7-0-0-0 Protonated Ratio,15,3.26,1,N/A,N/A
10-7-0-0-0 All Adducts,2080827,451656.19,138756.09,N/A,N/A
10-7-0-0-0 All Ratio,15,3.26,1,N/A,N/A
10-7-0-1-0 Protonated,9957.71,5313.53,4628.51,N/A,N/A
10-7-0-1-0 Protonated Ratio,2.15,1.15,1,N/A,N/A
10-7-0-1-0 All Adducts,9957.71,5313.53,4628.51,N/A,N/A
10-7-0-1-0 All Ratio,2.15,1.15,1,N/A,N/A
10-7-1-0-0 Protonated,11397.19,9133.26,0,N/A,N/A
10-7-1-0-0 Protonated Ratio,1.25,1,0,N/A,N/A
10-7-1-0-0 All Adducts,66755.05,9133.26,0,N/A,N/A
